#SHEETINFO | name=Common Fractions,,,,,,
What does the numerator represent?,The number of parts we take.,,,,,
What does the denominator represent?,The number of all equal parts the whole is divided into.,,,,,
What is a fraction called where the numerator is smaller than the denominator?,Proper fraction.,,,,,
What is a fraction called where the numerator is greater than or equal to the denominator?,Improper fraction.,,,,,
What is an irreducible fraction?,"A fraction whose top and bottom numbers cannot be divided by the same number (other than 1) to simplify it. It is already in its ""simplest"" form.

Example:
\( \frac{1}{2} \) (cannot be simplified)
\( \frac{3}{5} \) (cannot be simplified)
Not irreducible:

\( \frac{2}{4} \) (numerator and denominator can be divided by 2 to get \( \frac{1}{2} \) )
\( \frac{6}{9} \) (numerator and denominator can be divided by 3 to get \( \frac{2}{3} \) )",,,,,
,,,,,,
What part of the figure is one shaded part out of three equal parts?,\( \frac{1}{3} \) ,,,,,
What part of an hour is 15 minutes?,\( \frac{1}{4} \) ,,,,,
Give an example of a proper fraction with a denominator of 5.,"For example: \( \frac{1}{5} \) , \( \frac{2}{5} \) , \( \frac{3}{5} \) , \( \frac{4}{5} \) ",,,,,
Give an example of an improper fraction with a numerator of 8.,"For example: \( \frac{8}{8} \) , \( \frac{8}{7} \) , \( \frac{8}{5} \) ",,,,,
,,,,,,
"=""Convert the improper fraction \( \frac{""&R15&""}{""&Q15&""} \) to a mixed number.""","=""\( ""&S15&"" \frac{""&T15&""}{""&Q15&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q15;49)+1,=ROUNDDOWN(R15/Q15),=MOD(R15;Q15)
"=""Convert the improper fraction \( \frac{""&R16&""}{""&Q16&""} \) to a mixed number.""","=""\( ""&S16&"" \frac{""&T16&""}{""&Q16&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q16;49)+1,=ROUNDDOWN(R16/Q16),=MOD(R16;Q16)
"=""Convert the improper fraction \( \frac{""&R17&""}{""&Q17&""} \) to a mixed number.""","=""\( ""&S17&"" \frac{""&T17&""}{""&Q17&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q17;49)+1,=ROUNDDOWN(R17/Q17),=MOD(R17;Q17)
"=""Convert the improper fraction \( \frac{""&R18&""}{""&Q18&""} \) to a mixed number.""","=""\( ""&S18&"" \frac{""&T18&""}{""&Q18&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q18;49)+1,=ROUNDDOWN(R18/Q18),=MOD(R18;Q18)
"=""Convert the improper fraction \( \frac{""&R19&""}{""&Q19&""} \) to a mixed number.""","=""\( ""&S19&"" \frac{""&T19&""}{""&Q19&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q19;49)+1,=ROUNDDOWN(R19/Q19),=MOD(R19;Q19)
"=""Convert the improper fraction \( \frac{""&R20&""}{""&Q20&""} \) to a mixed number.""","=""\( ""&S20&"" \frac{""&T20&""}{""&Q20&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q20;49)+1,=ROUNDDOWN(R20/Q20),=MOD(R20;Q20)
,,,,,,
"=""Convert the mixed number \( ""&S22&"" \frac{""&T22&""}{""&Q22&""} \) to an improper fraction.""","=""\( \frac{""&R22&""}{""&Q22&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q22;49)+1,=ROUNDDOWN(R22/Q22),=MOD(R22;Q22)
"=""Convert the mixed number \( ""&S23&"" \frac{""&T23&""}{""&Q23&""} \) to an improper fraction.""","=""\( \frac{""&R23&""}{""&Q23&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q23;49)+1,=ROUNDDOWN(R23/Q23),=MOD(R23;Q23)
"=""Convert the mixed number \( ""&S24&"" \frac{""&T24&""}{""&Q24&""} \) to an improper fraction.""","=""\( \frac{""&R24&""}{""&Q24&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q24;49)+1,=ROUNDDOWN(R24/Q24),=MOD(R24;Q24)
"=""Convert the mixed number \( ""&S25&"" \frac{""&T25&""}{""&Q25&""} \) to an improper fraction.""","=""\( \frac{""&R25&""}{""&Q25&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q25;49)+1,=ROUNDDOWN(R25/Q25),=MOD(R25;Q25)
"=""Convert the mixed number \( ""&S26&"" \frac{""&T26&""}{""&Q26&""} \) to an improper fraction.""","=""\( \frac{""&R26&""}{""&Q26&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q26;49)+1,=ROUNDDOWN(R26/Q26),=MOD(R26;Q26)
"=""Convert the mixed number \( ""&S27&"" \frac{""&T27&""}{""&Q27&""} \) to an improper fraction.""","=""\( \frac{""&R27&""}{""&Q27&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q27;49)+1,=ROUNDDOWN(R27/Q27),=MOD(R27;Q27)
"=""Convert the mixed number \( ""&S28&"" \frac{""&T28&""}{""&Q28&""} \) to an improper fraction.""","=""\( \frac{""&R28&""}{""&Q28&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q28;49)+1,=ROUNDDOWN(R28/Q28),=MOD(R28;Q28)
"=""Convert the mixed number \( ""&S29&"" \frac{""&T29&""}{""&Q29&""} \) to an improper fraction.""","=""\( \frac{""&R29&""}{""&Q29&""} \)""",,~#place-after-tech-cols#~=RANDBETWEEN(2;9),=RANDBETWEEN(Q29;49)+1,=ROUNDDOWN(R29/Q29),=MOD(R29;Q29)
