#SHEETINFO | name=Decimal fractions,,,,
"Convert 0.25 to a common fraction",\( \frac{1}{4} \),,,
"Convert 0.2 to a common fraction",\( \frac{1}{5} \),,,
"Convert 0.125 to a common fraction",\( \frac{1}{8} \),,,
"Convert 0.1 to a common fraction",\( \frac{1}{10} \),,,
"Convert 0.01 to a common fraction",\( \frac{1}{100} \),,,
"=""Convert ""&Q9&"" to a common fraction""","=""\( \frac{""&Q9*10&""}{10} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();1),,
"=""Convert ""&Q10&"" to a common fraction""","=""\( \frac{""&Q10*10&""}{10} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();1),,
"=""Convert ""&Q11&"" to a common fraction""","=""\( \frac{""&Q11*10&""}{10} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();1),,
"=""Convert ""&Q12&"" to a common fraction""","=""\( \frac{""&Q12*100&""}{100} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();2),,
"=""Convert ""&Q13&"" to a common fraction""","=""\( \frac{""&Q13*100&""}{100} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();2),,
"=""Convert ""&Q14&"" to a common fraction""","=""\( \frac{""&Q14*1000&""}{1000} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();3),,
"=""Convert ""&Q15&"" to a common fraction""","=""\( \frac{""&Q15*1000&""}{1000} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();3),,
,,,,
Convert \( \frac{5}{10} \) to a decimal fraction,"0.5",,,
,,,,
"Which number is greater: 0.7 or 0.67?","0.7",,,
"Which number is smaller: 0.9 or 1.05?","0.9",,,
,,,,
"What is 2.5 + 3.75?","6.25",,,
"=""What is ""&Q23&"" + ""&R23&""?""","=Q23&"" + ""&R23&"" = ""&Q23+R23",~#place-after-tech-cols#~=RANDBETWEEN(1; 10) + CHOOSE(RANDBETWEEN(1; 4); 0; 0;25; 0;5; 0;75),=RANDBETWEEN(1; 10) + CHOOSE(RANDBETWEEN(1; 4); 0; 0;25; 0;5; 0;75),
"=""What is ""&Q24&"" + ""&R24&""?""","=Q24&"" + ""&R24&"" = ""&Q24+R24",~#place-after-tech-cols#~=RANDBETWEEN(1; 10) + CHOOSE(RANDBETWEEN(1; 4); 0; 0;25; 0;5; 0;75),=RANDBETWEEN(1; 10) + CHOOSE(RANDBETWEEN(1; 4); 0; 0;25; 0;5; 0;75),
"=""What is ""&Q25&"" + ""&R25&""?""","=Q25&"" + ""&R25&"" = ""&Q25+R25",~#place-after-tech-cols#~=RANDBETWEEN(1; 30) + RANDBETWEEN(1; 10)/100,=RANDBETWEEN(1; 30) + RANDBETWEEN(1; 10)/10,
,,,,
"What is 7.0 - 4.6?","2.4",,,
"Which number is greater: 0.49 or 0.5?","0.5",,,
,,,,
"What is 0.4 + 0.2?","0.6",,,
"What is 1.25 + 0.75?","2.0",,,
"What is 1.2 + 0.34?","1.54",,,
"What is 5 - 2.75?","2.25",,,
"What is 2.5 - 1.1?","1.4",,,
"What is 3.2 - 0.8?","2.4",,,
,,,,
"What is 0.2 × 3?","0.6",,,
"=""What is ""&Q38&"" × ""&R38&""?""",=Q38*R38,~#place-after-tech-cols#~=RANDBETWEEN(7;12)/10,=RANDBETWEEN(7;12),
"=""What is ""&Q39&"" × ""&R39&""?""",=Q39*R39,~#place-after-tech-cols#~=RANDBETWEEN(7;12),=RANDBETWEEN(7;12)/10,
"=""What is ""&Q40&"" × ""&R40&""?""",=Q40*R40,~#place-after-tech-cols#~=RANDBETWEEN(5;5)/10,=RANDBETWEEN(7;12),
"=""What is ""&Q41&"" × ""&R41&""?""",=Q41*R41,~#place-after-tech-cols#~=RANDBETWEEN(7;12)/10,=RANDBETWEEN(7;12)/10,
"=""What is ""&Q42&"" × ""&R42&""?""",=Q42*R42,~#place-after-tech-cols#~=RANDBETWEEN(7;12)/10,=RANDBETWEEN(7;12)/10,
