#SHEETINFO | name=Length and mass units,,,
,,"Relationships between length units:
1 cm = 10 mm
1 dm = 10 cm = 100 mm
1 m = 10 dm = 100 cm = 1000 mm
1 km = 1 000 m = 10 000 dm = 100 000 cm = 1 000 000 mm",
,,"Relationships between mass units:
* 1 dag = 10 g
* 1 kg = 100 dag = 1 000 g
* 1 t = 1 000 kg = 100 000 dag = 1 000 000 g",
,,"If you multiply by 10, 100, 1000, etc., append the corresponding number of zeros to the number being multiplied.
2<span style=""background:green"">00</span> × 1<span style=""background:blue"">0</span> = 2 <span style=""background:green"">00</span><span style=""background:blue"">0</span>
3 <span style=""background:green"">000</span> × 1<span style=""background:blue"">00</span> = 3<span style=""background:green"">00 0</span><span style=""background:blue"">00</span>
----
If you divide a number ending in zeros by 100, 1000, etc., remove as many zeros from the dividend as there are in the divisor.
42 0<span style=""background:red"">00</span> ÷ 1<span style=""background:red"">00</span> = 420",
,,"If the length is expressed in different units, convert the larger one to the smaller one and/or the smaller to the larger, then add them together, e.g.
* 1 cm 2 mm = 10 mm + 2 mm = 12 mm
* 4 m 200 mm = 40 dm + 2 dm = 42 dm",
,,,
Length units,,,
"Converting length units:

1 km = 🎈m
1 m = 🎁 cm
1 dm = 💣 cm
1 cm = 💝 mm","1 km = 1000 m
1 m = 100 cm
1 dm = 10 cm
1 cm = 10 mm",,
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q11&""""",15 m = 15 × 1000 = 15 000 mm,=$D$6,"~#place-after-tech-cols#~=""Express in mm (millimeters):
* 15 m"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q12&""""",2 km = 2 × 1 000 000  = 2 000 000 mm,=$D$6,"~#place-after-tech-cols#~=""Express in mm (millimeters):
* 2 km"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q13&""""",3 km = 3 × 100 000 = 300 000 cm,=$D$6,"~#place-after-tech-cols#~=""Express in cm (centimeters):
* 3 km"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q14&""""",2000 mm = 2000 ÷ 100 = 20 dm,=$D$6,"~#place-after-tech-cols#~=""Express in dm (decimeters):
* 2 000 mm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q15&""""",6 m = 6 × 10 = 60 dm,=$D$6,"~#place-after-tech-cols#~=""Express in dm (decimeters):
* 6 m"""
