#SHEETINFO | name=Multiplication,
"1 ⋅ 0 =
0 ⋅ 1 =",0,0 : 1 = 0
1 ⋅ 1 =,1,1 : 1 = 1
"1 ⋅ 2 =
2 ⋅ 1 =",2,2 : 1 = 2
"1 ⋅ 3 =
3 ⋅ 1 =",3,3 : 1 = 3
"1 ⋅ 4 =
4 ⋅ 1 =",4,4 : 1 = 4
"1 ⋅ 5 =
5 ⋅ 1 =",5,5 : 1 = 5
"1 ⋅ 6 =
6 ⋅ 1 =",6,6 : 1 = 6
"1 ⋅ 7 =
7 ⋅ 1 =",7,7 : 1 = 7
"1 ⋅ 8 =
8 ⋅ 1 =",8,8 : 1 = 8
"1 ⋅ 9 =
9 ⋅ 1 =",9,9 : 1 = 9
"1 ⋅ 10 =
10 ⋅ 1 =",10,10 : 1 = 10
,,
"2 ⋅ 0 =
0 ⋅ 2 =",0,0 : 2 = 0
"2 ⋅ 1 =
1 ⋅ 2 =",2,2 : 2 = 1
2 ⋅ 2 =,4,4 : 2 = 2
"2 ⋅ 3 =
3 ⋅ 2 =",6,6 : 2 = 3
"2 ⋅ 4 =
4 ⋅ 2 =",8,8 : 2 = 4
"2 ⋅ 5 =
5 ⋅ 2 =",10,10 : 2 = 5
"2 ⋅ 6 =
6 ⋅ 2 =",12,12 : 2 = 6
"2 ⋅ 7 =
7 ⋅ 2 =",14,14 : 2 = 7
"2 ⋅ 8 =
8 ⋅ 2 =",16,16 : 2 = 8
"2 ⋅ 9 =
9 ⋅ 2 =",18,18 : 2 = 9
"2 ⋅ 10 =
10 ⋅ 2 =",20,20 : 2 = 10
,,
"3 ⋅ 0 =
0 ⋅ 3 =",0,0 : 3 = 0
"3 ⋅ 1 =
1 ⋅ 3 =",3,3 : 3 = 1
"3 ⋅ 2 =
2 ⋅ 3 =",6,6 : 3 = 2
3 ⋅ 3 =,9,9 : 3 = 3
"3 ⋅ 4 =
4 ⋅ 3 =",12,12 : 3 = 4
"3 ⋅ 5 =
5 ⋅ 3 =",15,15 : 3 = 5
"3 ⋅ 6 =
6 ⋅ 3 =",18,18 : 3 = 6
"3 ⋅ 7 =
7 ⋅ 3 =",21,21 : 3 = 7
"3 ⋅ 8 =
8 ⋅ 3 =",24,24 : 3 = 8
"3 ⋅ 9 =
9 ⋅ 3 =",27,27 : 3 = 9
