#SHEETINFO | name=Polygons,,,,
What is a polygon?,"A part of a plane bounded by a simple closed polygonal chain, including the chain itself.",,,
What do we call the endpoints of the sides of a polygon?,The vertices of the polygon.,,,
What are the interior angles of a polygon?,The angles formed between adjacent sides of a polygon.,,,
What do we call the angles between consecutive sides of a polygon?,Interior angles.,,,
What is the name of a polygon that has all sides of equal length and all angles of equal measure?,A regular polygon.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Regular_polygons_qtl1.svg/2560px-Regular_polygons_qtl1.svg.png
What is the perimeter of a polygon?,The sum of the lengths of all its sides.,,,
"How many sides, angles, and vertices does a heptagon have?",7,,,
How many diagonals does a quadrilateral have?,2,,,
"Calculate the perimeter of a triangle with side lengths of 4 cm, 5 cm, and 6 cm",15 cm,,,
Calculate the perimeter of a square with a side of 7 cm,28 cm,,,
What is the perimeter of a regular pentagon with a side length of 6 cm?,30 cm,,,
Give an example of a quadrilateral that is a regular polygon.,A square,,,
How many diagonals can be drawn from a single vertex in a hexagon?,3,,,
Calculate the perimeter of a rectangle with sides of 5 cm and 8 cm,26 cm,,,
What do we call a line segment connecting two vertices of a polygon that is not a side?,A diagonal.,,,
What are the sides of a polygon?,The line segments that form the closed polygonal chain bounding the polygon.,,,
What do we call the segments that make up the closed polygonal chain of a polygon?,Sides.,,,
What are the vertices of a polygon?,The points where the sides of a polygon meet.,,,
"What is the sum of the interior angles of any quadrilateral (e.g., square, rectangle, rhombus)?",360°,,,
,,,,
What is the sum of the interior angles of any triangle?,180°,,,
What do we call a parallelogram that has all sides of equal length?,A rhombus.,,,
,,,,
What do we call a triangle that has all sides of different lengths?,A scalene triangle.,,,
What do we call a triangle that has at least two sides of equal length?,An isosceles triangle.,,,
What do we call a triangle that has all sides of equal length?,An equilateral triangle.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Equilateral_Triangle.svg/2560px-Equilateral_Triangle.svg.png
