#SHEETINFO | name=Time and clock calculations,,,,,
,,"Relationships between time units:
* 1 min = 60 s
* 1 quarter = 15 min
* half an hour = 30 min = 2 quarters
* 1 hour = 60 min = 4 quarters = 3600 s
* 1 day = 24 hours",,,
,,,,,
"Time unit conversion:

1 minute = 🎁  seconds
1 hour = 💣 minutes
1 day = 💝  hours

1 week = 🌀 days
1 month = 🎈 days
1 quarter = ❇️  months
1 year = 🔆 months","1 minute = 60 seconds
1 hour = 60 minutes
1 day = 24 hours

1 week = 7 days
1 month = 28/29, 30, 31 days
1 quarter = 3 months
1 year = 12 months",,,,
,,,,,
"How many minutes is this?

1 h 13 min",73 min,=$D$4,,,
"How many minutes is this?

3 h 10 min",190 min,=$D$4,,,
"How many minutes is this?

5 h 46 min","346 min

5 × 60 + 46 = 300 + 46 = 346",=$D$4,,,
"How many minutes is this?

half an hour",30 min,=$D$4,,,
"How many minutes is this?

two and a half hours",150 min,=$D$4,,,
"How many minutes is this?

3 quarters",45 min,=$D$4,,,
"How many minutes is this?

7 quarters",105 min,=$D$4,,,
"How many minutes is this?

180 seconds",3 min,=$D$4,,,
"How many minutes is this?

24 hours","1440 min

24 × 60 = 20 × 60 + 4 × 60 = 1200 + 240 = 1440",=$D$4,,,
"=""How many minutes is this?

""&Q17&"" hours ""&R17&"" minutes""",=Q17*60+R17,=$D$4,~#place-after-tech-cols#~=RANDBETWEEN(1;6),=RANDBETWEEN(1;59),
"=""How many minutes is this?

""&Q18&"" hours ""&R18&"" minutes""",=Q18*60+R18,=$D$4,~#place-after-tech-cols#~=RANDBETWEEN(1;6),=RANDBETWEEN(1;59),
"=""How many minutes is this?

""&Q19&"" hours ""&R19&"" minutes""",=Q19*60+R19,=$D$4,~#place-after-tech-cols#~=RANDBETWEEN(1;6),=RANDBETWEEN(1;59),
,,,,,
"How many hours and minutes is this?

75 min",1 h 15 min,=$D$4,,,
"How many hours and minutes is this?

123 min",2 h 3 min,=$D$4,,,
"How many hours and minutes is this?

1 day and 15 minutes",24 h 15 min,=$D$4,,,
"How many hours and minutes is this?

two and a half days","60 h

24 + 24 + 12 = 48 + 12 = 60",=$D$4,,,
"How many minutes:

3 hours 45 minutes",225 minutes,=$D$4,,,
,,,,,
"Calculate how much time passes:

from 13:15 to 13:28",13 minutes,,,,
