#SHEETINFO | name=Kl5SP Organizmy i oddychanie
Organizmy,
Co to jest hierarchiczna budowa organizmu?,"To uporządkowana budowa, w której organizm składa się z mniejszych elementów tworzących coraz bardziej złożone struktury."
Wymień poziomy organizacji organizmu w kolejności od najprostszego do najbardziej złożonego.,Komórka → tkanka → narząd (organ) → układ narządów (system) → organizm.
Co to jest tkanka?,"Tkanka to grupa komórek, które są do siebie podobne i razem wykonują to samo zadanie, np. tkanka mięśniowa pomaga nam się ruszać."
Co to jest narząd (organ)?,"Narząd to część ciała zbudowana z różnych tkanek, która wykonuje określone zadanie, np. serce pompuje krew, a płuca pomagają oddychać."
Co to jest układ narządów (system)?,"Układ narządów to grupa narządów, które współpracują ze sobą, żeby organizm mógł prawidłowo działać. Na przykład układ oddechowy pomaga nam oddychać."
Co to jest organizm?,"To istota żywa (np. człowiek, drzewo) zbudowana z układów narządów lub z jednej komórki, zdolna do wykonywania czynności życiowych."
"Uporządkuj podane elementy od najmniejszego do największego: tkanka mięśniowa, organizm człowieka, komórka mięśniowa, mięsień, układ mięśniowy.",komórka mięśniowa → tkanka mięśniowa → mięsień → układ mięśniowy → organizm człowieka.
Jakie cechy odróżniają organizmy od obiektów nieożywionych?,Organizmy wykonują czynności życiowe.
Wymień 7 podstawowych czynności życiowych organizmów.,"# odżywianie się
# oddychanie
# wydalanie
# ruch
# wrażliwość na bodźce
# rozmnażanie się
# wzrost i rozwój"
Na czym polega oddychanie?,"Jest to proces uwalniania energii z pokarmu, który zachodzi we wszystkich żywych komórkach.

W przypadku ludzi i zwierząt oddychanie polega na tym, że organizm pobiera tlen z powietrza, a następnie wykorzystuje go do uwalniania energii z pokarmu.

W czasie oddychania powstaje energia potrzebna do życia, a organizm wydala dwutlenek węgla.

Krótko: bierzemy tlen, spalamy dzięki niemu pokarm, dostajemy energię, wydychamy dwutlenek węgla CO₂."
Czym jest wydalanie?,To proces usuwania z organizmu zbędnych lub szkodliwych substancji.
Na czym polega ruch jako czynność życiowa?,Na zdolności do zmiany położenia całego ciała lub jego części.
Podaj przykład ruchu u rośliny.,Kierowanie liści lub kwiatów w stronę słońca.
Co to jest wrażliwość na bodźce?,To zdolność organizmów do odbierania informacji (bodźców) z otoczenia i reagowania na nie.
Podaj przykład reakcji na bodziec u człowieka.,Zamknięcie oczu pod wpływem silnego światła.
Na czym polega rozmnażanie się?,"Na wydawaniu na świat potomstwa, co zapewnia przetrwanie gatunku."
Czym jest wzrost i rozwój?,"To proces, podczas którego organizm zwiększa swoje rozmiary i masę (wzrost) oraz zmienia się w ciągu życia (rozwój)."
Podaj przykład organizmu jednokomórkowego. Zbudowanego z komórki bezjądrowej.,Bakteria.
"Jak nazywa się grupa komórek, które po podziale nie rozdzieliły się, lecz żyją w ścisłym sąsiedztwie?",Kolonia.
Jak odżywiają się organizmy cudzożywne?,"Pobierają z otoczenia gotowe, złożone związki chemiczne (np. cukry, białka, tłuszcze), odżywiając się innymi organizmami lub ich szczątkami."
Jakie organizmy nazywamy samożywnymi?,"Są to organizmy, które same potrafią wytwarzać pokarm, np. rośliny przeprowadzające fotosyntezę."
Jakie organizmy nazywamy cudzożywnymi?,"Takie, które pobierają pokarm z otoczenia, zjadając inne organizmy (np. zwierzęta)."
Na czym polega odżywianie się?,"Na pobieraniu z otoczenia substancji pokarmowych, które są źródłem energii i budulcem.

Pokarm to złożone związki chemiczne takie jak: cukry, tłuszcze i białka"
"Jak nazywamy organizmy, które same wytwarzają sobie pokarm (np. rośliny)?",Organizmy samożywne.
"Jak nazywamy organizmy, które pobierają pokarm z otoczenia (np. zwierzęta)?",Organizmy cudzożywne.
Jak odżywiają się organizmy samożywne?,"Same wytwarzają dla siebie pokarm (związki złożone) ze związków prostych (np. z dwutlenku węgla i wody), najczęściej w procesie fotosyntezy."
"Wymień trzy główne grupy związków chemicznych, które są charakterystyczne dla organizmów.","Białka, cukry i tłuszcze."
,
Komórki,
Co to jest komórka?,"Komórka to najmniejsza samodzielna jednostka, która tworzy organizm.
Z komórek zbudowane są wszystkie rośliny, zwierzęta i ludzie."
Wymień główne elementy budowy komórki zwierzęcej.,"# błona komórkowa
# cytozol
# jądro komórkowe z materiałem genetycznym (DNA)
# mitochondria
# wodniczki"
Wymień główne elementy budowy komórki roślinnej.,"# ściana komórkowa
# błona komórkowa
# cytozol
# jądro komórkowe z materiałem genetycznym (DNA)
# mitochondria
# chloroplasty
# duża wakuola"
Jaką funkcję pełni jądro komórkowe?,Zawiera materiał genetyczny (DNA) i kieruje wszystkimi procesami zachodzącymi w komórce.
Co to jest błona komórkowa i jaka jest jej rola?,"Oddziela wnętrze komórki od otoczenia i kontroluje, jakie substancje do niej wnikają, a jakie ją opuszczają."
Co to jest cytozol?,"Galaretowata substancja wypełniająca wnętrze komórki, w której zawieszone są jej elementy."
Za co odpowiadają mitochondria?,Za uwalnianie energii niezbędnej do życia komórki w procesie oddychania tlenowego.
Co to jest ściana komórkowa i w jakich komórkach występuje?,To sztywna warstwa chroniąca komórkę. Występuje w komórkach roślinnych i bakteryjnych (brak jej w zwierzęcych).
Czym są chloroplasty i jaką pełnią funkcję?,"To zielone organella w komórkach roślinnych, w których zachodzi proces fotosyntezy."
Jaki barwnik zawierają chloroplasty?,"Chlorofil, który pochłania światło potrzebne do fotosyntezy."
Jaką funkcję pełni wakuola (wodniczka)?,Magazynuje wodę i inne substancje. W dojrzałej komórce roślinnej jest jedna i duża.
"Wymień trzy elementy, które posiada komórka roślinna, a których nie ma komórka zwierzęca.","Ściana komórkowa, chloroplasty i duża, centralna wakuola."
Wymień cztery elementy wspólne dla komórki roślinnej i zwierzęcej.,"Błona komórkowa, cytozol, jądro komórkowe, mitochondria."
Z czego zbudowana jest ściana komórkowa u roślin?,Z celulozy.
Co to jest cytoplazma?,To cytozol wraz ze wszystkimi znajdującymi się w nim elementami (organellami).
"Który element budowy komórki występuje u roślin i bakterii, ale nie ma go u zwierząt?",Ściana komórkowa.
Który element budowy występuje tylko w komórce roślinnej?,Chloroplast.
Czy wakuole występują tylko w komórkach roślin.,"Występują również w komórkach zwierzęcych, ale są znacznie mniejsze i jest ich więcej (występują pod nazwą wodniczki)."
Z jakiego związku chemicznego zbudowana jest ściana komórkowa u roślin?,Z celulozy.
Czym komórka bakteryjna różni się od komórki zwierzęcej i roślinnej?,"Komórka bakteryjna: 
* Nie ma jądra komórkowego
* Nić DNA znajduje się bezpośrednio w cytozolu
* Posiada rzęski (niektóre komórki bakteryjne)
* Posiada otoczkę śluzową"
Wymień główne elementy budowy komórki bakteryjnej.,"# ściana komórkowa
# błona komórkowa
# otoczka śluzowa
# cytozol z nicią DNA 
# rzęski (u niektórych)

Ważne! Brak jądra komórkowego."
Do czego służą rzęski w komórce bakteryjnej?,Umożliwiają niektórym bakteriom poruszanie się.
Gdzie znajduje się materiał genetyczny (nić DNA) w komórce bakterii?,Znajduje się bezpośrednio w cytozolu.
"Które dwa elementy budowy występują we wszystkich trzech typach komórek: bakteryjnej, roślinnej i zwierzęcej?",Błona komórkowa i cytozol.
"Jak dzielimy organizmy ze względu na liczbę komórek, z których są zbudowane?",Na jednokomórkowe i wielokomórkowe.
"Jak nazywamy komórki, które posiadają jądro komórkowe?","Komórki jądrowe.

eukariotyczne"
"Jak nazywamy komórki, które nie posiadają jądra komórkowego?","Komórki bezjądrowe.

prokariotyczne"
,
Fotosynteza,
Co to jest fotosynteza?,"To proces, w którym organizmy samożywne (głównie rośliny) wytwarzają dla siebie pokarm (cukier) z dwutlenku węgla i wody, przy użyciu energii słonecznej."
Gdzie w komórce roślinnej zachodzi proces fotosyntezy?,"W chloroplastach, które zawierają zielony barwnik - chlorofil."
Co to jest chlorofil?,"Chlorofil to zielony barwnik, który znajduje się w liściach roślin. 
Dzięki niemu rośliny mogą pochłaniać światło słoneczne i wytwarzać pokarm w procesie zwanym fotosyntezą. 
To właśnie przez chlorofil liście mają zielony kolor.

Chlorofil pochłania energię świetlną, która jest następnie wykorzystywana do wytworzenia cukru."
