#SHEETINFO | name=Mchy i paprotniki,,,,
,"Teoria:
https://zpe.gov.pl/watek/LP1HSRFPyM/2/a/mchy/DyjxPUVdN
https://zpe.gov.pl/a/skrzypy-i-paprocie/D12h6NVI0",,,
,,,,
Mchy,,,,
Z jakich elementów zbudowany jest mech (np. płonnik)?,"Mech zbudowany jest z:
# chwytników
# ulistnionej łodyżki
# bezlistnej łodyżki
# zarodni z zarodnikami
# czapeczki",,,
"Czy mchy posiadają prawdziwe organy, takie jak korzenie, łodygi i liście?","Nie, mchy mają bardzo prostą budowę i nie posiadają organów, dlatego używa się określeń: chwytniki, łodyżka i listki.",,,
Jaka jest funkcja chwytników u mchów?,Przytwierdzają roślinę do podłoża oraz pobierają z niego wodę z solami mineralnymi.,,,
Gdzie u mchu zachodzi proces fotosyntezy?,"W listkach, które pokrywają ulistnioną łodyżkę.",,,
Do czego służy bezlistna łodyżka u mchu?,"Wynosi zarodnię ku górze, co ułatwia rozsiewanie zarodników przez wiatr.",,,
Jaka jest funkcja czapeczki u mchu?,Chroni znajdującą się pod nią zarodnię.,,,
"Co to znaczy, że mchy są organizmami pionierskimi?","Oznacza to, że mają bardzo małe wymagania życiowe i potrafią jako pierwsze zasiedlać tereny, na których nie ma jeszcze innej roślinności (np. nagie skały).",,,
Jakie jest znaczenie mchów dla środowiska?,"# Regulują wilgotność gleby.
# Stanowią ochronę przed pożarami.
# Są organizmami pionierskimi.
# Są składnikiem torfowisk (szczątki mchów przekształcają się w torf).
# Stanowią schronienie dla zwierząt.",,,
W jaki sposób rozmnażają się mchy?,Rozmnażają się bezpłciowo przez zarodniki.,,,
Gdzie powstają zarodniki u mchów i jak są przenoszone?,Powstają w zarodni na szczycie bezlistnej łodyżki i są rozsiewane przez wiatr.,,,
W jakich miejscach najczęściej można spotkać mchy?,"Preferują miejsca zacienione i wilgotne (np. dno lasu, pnie drzew, kamienie, bagna).",,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Kyotogarden.jpg
Jaka jest rola mchów w regulowaniu wilgotności w lesie?,"Mchy chłoną i zatrzymują wodę opadową jak gąbka, dzięki czemu zapobiegają wysychaniu gleby i pomagają przetrwać okresy suszy.",,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Kyotogarden.jpg
"Co powstaje z martwych, obumarłych szczątków mchów?",Powstaje z nich torf (wykorzystywany m.in. w ogrodnictwie).,,,
,,,,
Paprotniki,,,,
Z jakich organów zbudowane są paprocie?,"Parocie zbudowane są z:
# korzeni
# łodygi (w postaci podziemnego kłącza)
# liści
# młodych liści (w wyglądzie przypominającym ślimaka)
# zarodni z zarodnikami",,,
"Jak nazywamy rośliny, których ciało zróżnicowane jest na korzenie, łodygi i liście?",Organowce.,,,
Czym jest kłącze u paproci i jaką pełni funkcję?,"Kłącze to wieloletnia, podziemna łodyga.

Utrzymuje roślinę w podłożu, magazynuje substancje zapasowe i bierze udział w rozmnażaniu wegetatywnym.",,,
Jak wyglądają młode liście paproci?,Są charakterystycznie zwinięte w kształt przypominający pastorał lub ślimaka.,,,
Gdzie i w jakiej postaci u paproci powstają zarodniki?,"Powstają w zarodniach, które są zebrane w brązowe skupiska (kupki zarodni) na spodniej stronie liści.",,,
Jakie grupy roślin potocznie nazywamy paprotnikami?,"# paprociowe
# widłakowe
# skrzypowe",,,
"W jaki sposób rozmnażają się paprocie, widłaki i skrzypy?",Rozmnażają się przez zarodniki.,,,https://upload.wikimedia.org/wikipedia/commons/1/12/499_Polypodium_vulgare.jpg
"Skąd pochodzi nazwa ""widłaki""?","Od ich łodyg, które rozgałęziają się widlasto (przypominają widełki).",,,
"Skąd wzięła się nazwa ""skrzypy""?","Od charakterystycznego skrzypienia, jakie wydają pędy tych roślin przy zginaniu.",,,
Co dzieje się z liśćmi paproci w ciągu roku?,"Są to rośliny wieloletnie - jesienią ich nadziemne liście zamierają, a na wiosnę z podziemnego kłącza wyrastają nowe.",,,
"Jakie jest znaczenie roślin paprociowych (paproci, widłaków, skrzypów) w środowisku?","# wchodzą w skład runa leśnego
# stanowią pokarm dla dzikich zwierząt
# dają dzikim zwierzętom schronienie",,,
