Co to jest bryza?,"To wiatr nad morzem, który zmienia kierunek w ciągu doby: w dzień wieje od morza na ląd, a w nocy z lądu w stronę morza."
Co to jest klif?,"To stromy, wysoki brzeg morski, niszczony przez uderzające w niego fale."
Co to jest nawis skalny?,"To fragment skały, który wystaje ze stromego brzegu jak daszek. Powstaje, gdy fale niszczą skały znajdujące się pod nim."
Dlaczego przebywanie u podnóża klifu jest niebezpieczne?,Ponieważ w każdej chwili mogą z niego spaść na plażę kawałki skał.
Co to jest mierzeja?,"To wąski, piaszczysty półwysep, który powstaje dzięki prądom morskim i stopniowo zamyka zatokę."
Co to jest plaża?,"To płaski, piaszczysty lub żwirowy brzeg morza, idealny do opalania i zabawy."
Co to jest pobrzeże?,"To pas lądu wzdłuż morza, którego wygląd jest kształtowany przez fale, wiatr i prądy morskie."
Czym jest wydma?,Wzgórze usypane z piasku przez wiatr.
Co oznacza biała flaga wywieszona na kąpielisku?,"Można się kąpać, ponieważ woda jest bezpieczna, a nad plażą czuwa ratownik."
Co oznacza czerwona flaga wywieszona na kąpielisku?,"Nie wolno wchodzić do wody, ponieważ jest to niebezpieczne (np. z powodu dużych fal)."
Jaka jest rola roślin sadzonych wzdłuż piaszczystych wybrzeży?,Ich korzenie wzmacniają wydmy i chronią brzeg przed niszczeniem przez wiatr.
