#SHEETINFO | name=Kl5SP Ziemia i mapa
Co to jest mapa?,"Obraz powierzchni Ziemi lub jej fragmentu, przedstawiony na płaszczyźnie, w pomniejszeniu (w skali) i przy użyciu umownych znaków."
Co to jest legenda mapy?,Zestawienie wszystkich znaków kartograficznych użytych na mapie wraz z ich wyjaśnieniem.
Co to jest skala mapy?,"Informacja o tym, ile razy obraz na mapie został pomniejszony w stosunku do rzeczywistych wymiarów w terenie."
Wymień trzy rodzaje skali.,"Skala liczbowa (np. 1:100 000), skala mianowana (np. 1 cm - 1 km) i skala liniowa (podziałka)."
Co to jest siatka geograficzna?,Układ południków i równoleżników na globusie.
Co to jest siatka kartograficzna?,Układ południków i równoleżników przedstawiony na mapie (na płaszczyźnie).
Czym są równoleżniki?,Linie na globusie biegnące ze wschodu na zachód. Wyznaczają kierunki wschód-zachód.
Jak nazywa się najdłuższy równoleżnik?,Równik.
Jak Równik dzieli kulę ziemską?,Na półkulę północną i południową.
Czym są południki?,Linie na globusie łączące biegun północny z południowym. Wyznaczają kierunki północ-południe.
Jak nazywają się południki 0° i 180°?,Południk początkowy (0°) i południk 180°.
Jak południki 0° i 180° dzielą kulę ziemską?,Na półkulę wschodnią i zachodnią.
Co to są poziomice (izohipsy)?,"Linie na mapie, które łączą punkty o tej samej wysokości nad poziomem morza."
"Co oznacza fakt, że poziomice na mapie są blisko siebie?","Oznacza to, że stok jest bardzo stromy."
Czym jest wysokość bezwzględna?,Wysokość mierzona od poziomu morza (n.p.m.).
Czym jest wysokość względna?,"Wysokość mierzona względem dowolnie wybranego punktu, np. od podnóża góry do jej szczytu."
Na mapie w skali 1:25 000 odcinek ma 4 cm. Ile wynosi jego rzeczywista odległość?,1 km (bo 1 cm na mapie to 250 m w terenie).
Wymień kontynenty od największego do najmniejszego.,"# Azja
# Afryka
# Ameryka Północna
# Ameryka Południowa
# Antarktyda
# Europa
# Australia"
"Wymień nazwy kontynentów, które w całości leżą na półkuli południowej.",Australia i Antarktyda
"Wymień nazwy kontynentów, które w całości leżą na półkuli północnej.",Europa i Ameryka Północna.
Wymień oceany od największego do najmniejszego.,"# Ocean Spokojny (Pacyfik)
# Ocean Atlantycki
# Ocean Indyjski
# Ocean Południowy
# Ocean Arktyczny"
Kto jako pierwszy opłynął Ziemię dookoła?,Wyprawa pod dowództwem Ferdynanda Magellana.
W którym roku Krzysztof Kolumb odkrył Amerykę?,W 1492 roku.
Kto odkrył Amerykę w 1492 roku?,Krzysztof Kolumb.
Kto odkrył morską drogę do Indii?,Vasco da Gama.
Kto był odkrywcą Australii?,James Cook.
Jakie mapy nazywamy tematycznymi?,"Mapy, które przedstawiają wybrane zjawiska, np. mapy drogowe, polityczne, turystyczne."
Co to jest mapa hipsometryczna?,"Mapa, na której wysokość nad poziomem morza przedstawiono za pomocą kolorów."
Jak zorientować mapę w terenie?,"Należy ustawić ją tak, aby kierunek północny na mapie pokrywał się z kierunkiem północnym w terenie (wyznaczonym np. kompasem)."
Co to jest treść mapy?,Wszystkie obiekty i obszary narysowane na mapie za pomocą umownych znaków kartograficznych.
Jaką informację przekazuje tytuł mapy?,"Informuje o tym, jaki obszar lub jakie zjawisko jest przedstawione na mapie."
Czym różni się mapa ogólnogeograficzna od tematycznej?,"Mapa ogólnogeograficzna przedstawia ogólną charakterystykę terenu (np. rzeki, góry, miasta), a tematyczna skupia się na jednym, wybranym zagadnieniu (np. drogi)."
Co to jest oś ziemska?,"Wyobrażona linia prosta przechodząca przez środek Ziemi i jej bieguny, wokół której Ziemia się obraca."
Czym są bieguny geograficzne?,"Punkty na powierzchni Ziemi, w których oś ziemska przecina jej powierzchnię; są to biegun Północny i Południowy."
Jak nazywają się dwa zwrotniki?,Zwrotnik Raka (na półkuli północnej) i Zwrotnik Koziorożca (na półkuli południowej).
Co to jest Wszechocean?,Ogólne określenie wszystkich połączonych ze sobą oceanów i mórz na Ziemi.
Na mapie w skali 1:500 000 odcinek ma 3 cm. Ile wynosi jego rzeczywista odległość w terenie?,15 km (ponieważ 1 cm na mapie to 5 km w terenie).
Prawda czy fałsz: Najdłuższym równoleżnikiem jest zwrotnik Raka.,Fałsz. Najdłuższym równoleżnikiem jest równik.
Prawda czy fałsz: Wszystkie południki mają taką samą długość.,Prawda.
Prawda czy fałsz: Równoleżniki na globusie mają kształt okręgów.,Prawda.
Jakiego koloru używa się na mapach hipsometrycznych do oznaczenia nizin?,Zielonego.
Jakiego koloru używa się na mapach hipsometrycznych do oznaczenia wyżyn?,Żółtego.
Jakiego koloru używa się na mapach hipsometrycznych do oznaczenia gór?,Pomarańczowego i brązowego.
"Korzystając z mapy poziomicowej z zadania 2, podaj wysokość bezwzględną punktu 1.",300 m n.p.m.
"Korzystając z mapy poziomicowej z zadania 2, podaj wysokość bezwzględną punktu 3.",550 m n.p.m.
"Korzystając z mapy poziomicowej z zadania 2, oblicz wysokość względną między punktami 2 i 3.",300 metrów (550m - 250m).
Który ocean oddziela obie Ameryki od Azji i Australii?,Ocean Spokojny (Pacyfik).
Który ocean oddziela obie Ameryki od Europy i Afryki?,Ocean Atlantycki.
Który kontynent leży w całości na półkuli południowej i jest zamieszkany?,Australia.
"Jak nazywa się kontynent, na którym leży biegun południowy?",Antarktyda.
Na których czterech półkulach leży Afryka?,"Na półkuli północnej, południowej, wschodniej i zachodniej."
"Co wskazuje górna ramka mapy, jeśli nie ma na niej strzałki północy?",Kierunek północny.
Z jakim dokonaniem kojarzony jest Marco Polo?,Z wielką podróżą lądową z Europy do Chin.
Jakiego odkrycia dokonała wyprawa Ferdynanda Magellana?,"Jako pierwsza opłynęła Ziemię dookoła, udowadniając, że jest kulą."
Co to jest plan?,"Bardzo szczegółowy obraz niewielkiego obszaru (np. miasta, mieszkania) w dużej skali."
Czym zajmuje się geografia fizyczna?,"Badaniem procesów i zjawisk zachodzących w środowisku przyrodniczym, np. klimatu, wód, rzeźby terenu."
"Co oznacza określenie ""mapa w dużej skali""?","Oznacza, że przedstawia ona mały obszar w dużym powiększeniu i jest bardzo szczegółowa (np. plan miasta)."
"Co oznacza określenie ""mapa w małej skali""?","Oznacza, że przedstawia ona duży obszar (np. świat) w dużym pomniejszeniu i jest mało szczegółowa."
Który kontynent jest jednocześnie państwem?,Australia.
Jak nazywamy inaczej półkulę północną i południową?,"Półkula północna to hemisfera północna, a południowa to hemisfera południowa."
Jak nazywamy inaczej półkulę wschodnią i zachodnią?,"Półkula wschodnia to hemisfera wschodnia, a zachodnia to hemisfera zachodnia."
W jakich jednostkach podaje się współrzędne geograficzne (położenie na siatce geograficznej)?,W stopniach (°).
Czym różni się globus od mapy?,"Globus to model Ziemi, który zachowuje kształt i wielkość kontynentów bez zniekształceń, podczas gdy mapa to płaski obraz Ziemi, który zawsze posiada pewne zniekształcenia."
Wymień trzy główne cechy mapy.,"# Jest ważnym źródłem informacji geograficznych.
# Przedstawia całą powierzchnię Ziemi lub jej część na płaszczyźnie.
# Obiekty są przedstawione za pomocą umownych znaków kartograficznych (mapa ma legendę)
# Obszar jest narysowany w pomniejszeniu (mapa ma skalę)"
Co to są znaki kartograficzne?,"Umowne symbole (np. linie, punkty, sygnatury) używane na mapie do przedstawienia różnych obiektów i zjawisk, np. rzek, miast, lasów."
"Podaj przykład zastosowania skali mianowanej ""1 cm - 50 m"".","Oznacza to, że 1 centymetr na mapie odpowiada 50 metrom w rzeczywistości."
Czym zajmuje się geografia społeczno-ekonomiczna?,"Bada zagadnienia związane z działalnością człowieka, takie jak rozmieszczenie ludności, rolnictwo czy przemysł."
Podaj przykład mapy ogólnogeograficznej.,"Mapa fizyczna Polski, mapa świata."
Podaj przykład mapy tematycznej.,"Mapa samochodowa, mapa klimatyczna, mapa rozmieszczenia ludności."
