#SHEETINFO | name=Kl4SP Kazimierz Wielki
Czym było i jak długo trwało rozbicie dzielnicowe?,"Rozbicie dzielnicowe to okres, w którym Polska była podzielona na niezależne księstwa, które były rządzone przez różnych książąt z dynastii Piastów.

Trwało ono ponad 150 lat, od śmierci Bolesława Krzywoustego w 1138 roku do 1320 roku. Wtedy to Władysław Łokietek zjednoczył państwo i został koronowany na króla Polski.","Rozbicie dzielnicowe wprowadził książę Bolesław Krzywousty, który podzielił Polskę między swoich synów, aby uniknąć sporów o władzę. 

Niestety, podział doprowadził do osłabienia kraju, gdyż księstwa często rywalizowały ze sobą i były narażone na ataki z zewnątrz."
Czyim synem był Kazimierz Wielki? Czyli kto był ojcem Kazimierza Wielkiego?,Kazimierz Wielki był synem Władysława Łokietka.,
Dlaczego sąsiedzi nazwali króla Kazimierza „królikiem krakowskim”?,"Sąsiedzi nazwali Kazimierza Wielkiego „królikiem krakowskim”, ponieważ jego państwo było małe i słabe w porównaniu z innymi. 

Polska nie miała dostępu do morza i składała się tylko z Małopolski i Wielkopolski.",
"Co zrobił Kazimierz Wielki, by wzmocnić państwo?","# Kazimierz Wielki kazał zbudować 53 zamki i 27 miast opasać murami obronnymi. Dzięki temu Polska stała się mniej bezbronna. 
# Powstało powiedzenie: „Zastał Polskę drewnianą, a zostawił murowaną”.
# Wzmocnił Polskę, powiększył ją ponaddwukrotnie
# Zawarł pokój z Krzyżakami. ",
Kim byli Krzyżacy?,"Krzyżacy byli niemieckim zakonem rycerskim. 

Przybyli do Polski w XIII wieku na zaproszenie księcia Konrada Mazowieckiego, aby walczyć z pogańskimi Prusami. 

Założyli swoje państwo nad Wisłą, które powiększali także kosztem Polski.",
Co to był pokój wieczysty?,"""Pokój wieczysty"" odnosi się do traktatu pokojowego zawartego w 1343 roku w Kaliszu między Królestwem Polskim a Zakonem Krzyżackim.",
W jaki sposób król przyłączył do Polski Ruś Halicką?,"Król Kazimierz Wielki rozpoczął zbrojne wyprawy na Ruś Halicką, która była w chaosie po śmierci swojego władcy. 

Po 26 latach udało mu się przyłączyć ten kraj do Polski.",
W jakim celu król założył pierwszy uniwersytet w Polsce?,"Kazimierz Wielki założył pierwszy uniwersytet, Akademię Krakowską, aby wykształcić urzędników, którzy mieli pomagać w zarządzaniu państwem. 

Potrzebował przede wszystkim prawników.",
Co świadczy o wzroście znaczenia Polski za rządów Kazimierza Wielkiego?,"O wzroście znaczenia Polski świadczy zjazd monarchów w Krakowie w 1364 roku. 

Król gościł cesarza, dwóch królów i licznych książąt, a Polska była ważnym uczestnikiem dyskusji o sprawach chrześcijańskiej Europy.

Zjazd monarchów w Krakowie świadczył o wzroście znaczenia Polski w Europie.",
"Czy byłoby dobrze, gdyby władze dzisiejszej Polski postępowały jak Kazimierz Wielki? Dlaczego tak uważasz?","To zależy od opinii. Kazimierz Wielki był surowy wobec przestępców i troszczył się o sprawiedliwość. 

Można uważać, że surowe prawa mogą pomóc w utrzymaniu porządku, ale dzisiaj takie metody mogłyby być uznane za zbyt surowe.",
"Co było potrzebne, aby założyć pierwszy uniwersytet w Polsce?","Do założenia pierwszego uniwersytetu w Polsce, Akademii Krakowskiej, potrzebne były:
# Zgoda papieża - Ponieważ w średniowieczu edukacja była silnie związana z Kościołem, konieczna była zgoda papieża na założenie uczelni.
# Środki finansowe - Król Kazimierz Wielki musiał zapewnić fundusze na budowę i utrzymanie uniwersytetu, w tym na opłacenie profesorów i wyposażenie sal.
# Zaplecze dydaktyczne - Należało zgromadzić odpowiednich nauczycieli i uczonych, którzy mogliby uczyć studentów.
# Budynki i infrastruktura - Konieczne było wybudowanie odpowiednich budynków, takich jak sale wykładowe i biblioteki.",
Kiedy odbyła się koronacja Kazimierza Wielkiego? Czyli w którym roku Kazimierz Wielki został królem?,Koronacja Kazimierza Wielkiego odbyła się w 1333 roku.,
W którym roku założono Akademię Krakowską?,Akademię Krakowską założono w 1364 roku.,
Kiedy Kazimierz Wielki zmarł?,Kazimierz Wielki zmarł w 1370 roku.,"Król Kazimierz przez całe życie lubił polowania. Podczas jednego z nich spadł z konia i złamał nogę. 

Pojawiła się gorączka, której medycy nie umieli wyleczyć. 

Po dwóch miesiącach władca zmarł. Stało się to w 1370 r."
Jak długo trwało rozbicie dzielnicowe Polski?,"Rozbicie dzielnicowe Polski trwało ponad 150 lat, od 1138 roku do początku XIV wieku.",
Czy po Kazimierzu Wielkim Polską rządzili jeszcze Piastowie?,"Nie. Monarcha nie zostawił po sobie następcy. 
Był ostatnim królem z dynastii Piastów.",
Kiedy odbył się zjazd monarchów w Krakowie?,Zjazd monarchów w Krakowie odbył się w 1364 roku.,
Ile lat panował Kazimierz Wielki?,"Kazimierz Wielki panował od 1333 do 1370 roku, czyli 37 lat.",
W którym roku zmarł książę Bolesław Krzywousty?,Książę Bolesław Krzywousty zmarł w 1138 roku.,
Kim był Kazimierz Wielki?,"Kazimierz Wielki był królem Polski, który panował od 1333 do 1370 roku.",
Dlaczego Kazimierz Wielki nazywany był „królem chłopów”?,"Nazywano go „królem chłopów”, ponieważ bronił chłopów przed możnymi panami.",
Jak Kazimierz Wielki wzmocnił gospodarkę Polski?,"Kazimierz Wielki zakładał miasta, rozwijał handel i wzmacniał obronność kraju.",
Jakie ziemie przyłączył Kazimierz Wielki do Polski?,Kazimierz Wielki przyłączył do Polski Ruś Halicką i podporządkował sobie Mazowsze.,
"Dlaczego Kazimierz Wielki nie odzyskał Pomorza, Śląska i Mazowsza?","Nie miał wystarczającej liczby wojska i pieniędzy, dlatego skupił się na wzmacnianiu państwa.",
"Co oznacza powiedzenie „Zastał Polskę drewnianą, a zostawił murowaną”?","Oznacza, że Kazimierz Wielki zbudował wiele zamków i murów obronnych, wzmacniając Polskę.",
W którym roku urodził się Kazimierz Wielki?,Kazimierz Wielki urodził się w roku 1310.,"Zmarł w roku 1370. 

Żył 60 lat."
Co to są żupy solne?,"Żupy solne to kopalnie soli, które w dawnej Polsce były bardzo ważnym elementem gospodarki. Sól była cennym towarem, a żupy solne przynosiły duże dochody władcom.","Główne kopalnie soli:
* w Wieliczce 
* w Bochni"
