#SHEETINFO | name=Kl4SP Mieszko I i Jagiełło
"Co się działo we wskazanych latach:
* 960
* 966
* 992
* 997
* 1000
* 1025
* 1109
* 1138
* 1226
* 1310
* 1320
* 1333
* 1343
* 1364
* 1370
* 1384
* 1385
* 1386
* 1399","* 960 - początek rządów Mieszka I, pierwszy władca Polski (jeszcze nie król)
* 966 - chrzest Polski za rządów Mieszka I
* 992 - śmierć Mieszka I
* 997 - wyprawa misyjna biskupa Wojciecha nawracać pogańskie Prusy (czasy Bolesława Chrobrego)
* 1000 - zjazd w Gnieźnie (czasy Bolesława Chrobrego)
* 1025 - koronacja Bolesława Chrobrego na króla Polski
* 1109 - wojna z Niemcami w czasach Bolesława Krzywoustego, obrona Głogowa (dzieci na maszynach oblężniczych)
* 1138 - śmierć Bolesława Krzywoustego, wprowadzenie rozbicia dzielnicowego 
* 1226 - sprowadzenie Krzyżaków do Polski przez Konrada Mazowieckiego
* 1310 - narodziny Kazimierza Wielkiego
* 1320 - koronacja Władysława Łokietka, koniec rozbicia dzielnicowego
* 1333 - Koronacja Kazimierza Wielkiego
* 1343 - zawarcie ""pokoju wieczystego"", czyli traktatu pokojowego zawartego w Kaliszu między Królestwem Polskim a Zakonem Krzyżackim
* 1364 - zjazd monarchów w Krakowie, założenie Akademii Krakowskiej przez Kazimierza Wielkiego
* 1370 - śmierć Kazimierza Wielkiego
* 1384 - koronacja Jadwigi na króla Polski
* 1385 - umowa w Krewie (unia polsko-litewska) (czasy królowej Jadwigi i Władysława Jagiełły)
* 1386 - unia Polski z Litwą (czasy królowej Jadwigi i Władysława Jagiełły)
* 1399 - śmierć królowej Jadwigi",
Kim był Mieszko I?,"Mieszko I był:
* Pierwszym historycznym władcą Polski.
* Założycielem dynastii Piastów.
* Został władcą około 960 roku.",
Czego dokonał Mieszko I?,"* Przyjął chrzest w 966 roku
* Wprowadził chrześcijaństwo do Polski
* Umocnił pozycję Polski w Europie.",
Jakie obszary obejmowało państwo Mieszka I?,"Wielkopolska, Mazowsze

Pomorze Zachodnie, Śląsk, Małopolska (częściowo), Kujawy",
Jak wygląda portret Mieszka I według Jana Matejki?,"Przedstawia brodatego władcę w koronie, trzymającego miecz i tarczę.",
Kim była Dobrawa?,Dobrawa była czeską księżniczką i żoną Mieszka I.,
Jaki wpływ miała Dobrawa na Mieszka I?,Przekonała Mieszka I do przyjęcia chrztu.,
W którym roku odbył się chrzest Polski?,W 966 roku.,
Jak nazywała się religia wyznawana w Polsce przed chrześcijaństwem?,Pogaństwo,"Słowianie czcili wielu bogów, takich jak Perun (bóg piorunów) czy Weles (bóg zaświatów). "
Jakie były przyczyny chrztu Polski?,"* Chęć umocnienia władzy Mieszka I.
* Zawarcie sojuszu z Czechami.
* Uniknięcie zależności od Niemiec.",
Jakie były skutki chrztu Polski?,"* Wprowadzenie chrześcijaństwa do Polski.
* Rozwój kultury i pisma.
* Wzmocnienie pozycji Polski w Europie.",
Kim był Bolesław Chrobry?,"Pierwszym królem Polski, synem Mieszka I.",
Co osiągnął Bolesław Chrobry?,"* Wzmocnił państwo
* Zorgnizował wyprawę misyjną biskupa Pragi - Wojciecha
* Zorganizował Zjazd Gnieźnieński w roku 1000
* Koronował się na króla Polski w 1025 roku.",
Jak wygląda wizerunek Bolesława Chrobrego według Jana Matejki?,"Przedstawia potężnego władcę w koronie, z mieczem i płaszczem królewskim.",
W którym roku koronowano Bolesława Chrobrego?,W 1025 roku.,
Kim był św. Wojciech?,"* Był biskupem Pragi i misjonarzem
* Nawracał pogańskie plemiona.",
Na czym polegała misja pruska św. Wojciecha?,"Głosił chrześcijaństwo wśród Prusów, ale został przez nich zabity w 997 roku.",
Co stało się po śmierci św. Wojciecha?,Bolesław Chrobry wykupił jego ciało i pochował w Gnieźnie.,
Gdzie znajdują się Drzwi Gnieźnieńskie?,W katedrze gnieźnieńskiej.,
Co przedstawiają Drzwi Gnieźnieńskie?,Życie i męczeńską śmierć św. Wojciecha.,
Co to był Zjazd w Gnieźnie?,Spotkanie cesarza Ottona III i Bolesława Chrobrego w 1000 roku.,
Jakie były skutki Zjazdu w Gnieźnie?,"* Uznanie niezależności Polski
* Utworzenie arcybiskupstwa w Gnieźnie.",
Kiedy miała miejsce unia Polski z Litwą?,W 1386 roku.,
Jakie były przyczyny unii Polski z Litwą?,"* Zagrożenie ze strony Krzyżaków
* Potrzeba sojuszu
* Nawrócenie Litwy na chrześcijaństwo.",
Kto był pierwszym wspólnym władcą Polski i Litwy?,Władysław Jagiełło.,
Kim była Jadwiga Andegaweńska?,"Była królową Polski, żoną Władysława Jagiełły.",
Dlaczego Jadwiga zgodziła się na ślub z Jagiełłą?,Aby zawrzeć unię z Litwą i nawrócić ją na chrześcijaństwo.,
W którym roku Jadwiga została koronowana?,W 1384 roku.,
Czym zasłynęła Jadwiga?,"* Wspierała rozwój nauki i kultury
* Była fundatorką Akademii Krakowskiej.",
Jakie było znaczenie unii Polski z Litwą?,"Powstanie silnego państwa, obrona przed Krzyżakami, rozwój kultury i gospodarki.",
Jakie plemię rządziło Polską przed Mieszkiem I?,Polanie.,
Co oznacza słowo „chrystianizacja”?,Wprowadzenie i rozpowszechnienie chrześcijaństwa.,
W którym roku zmarł Mieszko I?,W 992 roku.,
Kto przejął władzę po Mieszku I?,"Jego syn, Bolesław Chrobry.",
Co symbolizują Drzwi Gnieźnieńskie?,Ważność chrześcijaństwa i kultu św. Wojciecha w Polsce.,
Z czego wykonano Drzwi Gnieźnieńskie?,Z brązu.,
Jakie było znaczenie Gniezna w średniowiecznej Polsce?,Było pierwszą stolicą i centrum chrześcijaństwa.,
Jakie miasto stało się stolicą Polski po Gnieźnie?,Kraków.,
Dlaczego Bolesław Krzywousty podzielił Polskę?,Aby uniknąć walk o władzę między swoimi synami.,
Kto sprowadził Krzyżaków do Polski?,Konrad Mazowiecki w 1226 roku.,
Dlaczego Konrad Mazowiecki sprowadził Krzyżaków?,Aby pomogli mu walczyć z pogańskimi Prusami.,
Jakie miasto było stolicą Krzyżaków?,Malbork.,
Kiedy miała miejsce unia Polski i Litwy?,W 1385 roku w Krewie.,
Jaki był warunek unii w Krewie (unia Polski i Litwy)?,Władysław Jagiełło przyjął chrzest i poślubił Jadwigę.,
Jakie były skutki unii w Krewie (unia Polski i Litwy)?,"* Powstanie państwa polsko-litewskiego.
* Litwa stała się państwem chrześcijańskim.",
Jakie są zasługi Królowej Jadwigi?,"* Dla dobra polski zgodziła się na ślub z władcą litewskim Władysławem Jagiełłą.
* Doprowadziła to Unii Polski-Litewskiej
* Wprowadziła chrześcijaństwo w Litwie
* Broniła interesów Polski.
* Troszczyła się o biednych i chorych.
* Zapisała w testamencie środki na odnowienie Akademii Krakowskiej.",
Jak ówcześni chrześcijanie traktowali pogan?,"Starali się ich nawracać na chrześcijaństwo, czasem siłą.",
"Co zrobił Mieszko I, aby przyjąć chrzest?","Ożenił się z czeską księżniczką Dobrawą.

Przyjął chrzest w 966 roku.",
Co chrzest polski zmienił w kontaktach Mieszka z władcami innych państw?,Mieszko I stał się równorzędnym władcą chrześcijańskiej Europy.,
Dlaczego przed przyjęciem chrztu Polanie nie świętowali niedzieli?,"Nie znali tej tradycji, bo nie byli chrześcijanami.",
Z jakiego powodu Polanie nie pisali listów?,"Nie znali pisma, bo nie mieli jeszcze szkół ani nauczycieli (pochodzących z kościoła) uczących czytania.",
Omów przebieg wyprawy misyjnej biskupa Wojciecha.,"Biskup Wojciech udał się nawracać pogańskich Prusów, ale został zamordowany w 997 roku.",
Kto i w którym roku koronował się na pierwszego króla Polski?,Bolesław Chrobry w 1025 roku.,
"W jaki sposób Bolesław Chrobry pokazał Europie, że Polska to kraj chrześcijański?",Zorganizował zjazd gnieźnieński i wspierał Kościół.,
"Dlaczego można powiedzieć o Królowej Jadwidze, że była królem?","Była koronowana jako ""król"" Polski, bo rządziła samodzielnie.",
"Dlaczego polscy dostojnicy chcieli, by Jadwiga poślubiła Władysława Jagiełłę?","Chcieli unii z Litwą, aby wzmocnić Polskę.",
Z jakich powodów Jadwiga zgodziła się na poślubienie Władysława Jagiełły?,Chciała chrystianizacji Litwy i pokoju dla Polski.,
"Kiedy i gdzie zawarto umowę o Unii Polsko-Litewskiej, a kiedy rozpoczęto Unię?","Unia w Krewie w 1385 r., formalnie w 1386 r.",
"Co zrobiła królowa Jadwiga, by odnowić Akademię Krakowską?",Przekazała majątek na jej odbudowę.,
Ile lat miała i dlaczego umarła Królowa Jadwiga?,"Miała 25 lat, zmarła po urodzeniu dziecka.",
