#SHEETINFO | name=Kl5SP Średniowiecze,,,,
,"Zakres:
Bizancjum w czasach świetności: Cesarstwo Bizantyjskie pod Justynianem I, Konstantynopol, Hagia Sophia, tradycja grecka i upadek miasta.
Arabowie i początki islamu: Działalność Mahometa, podboje arabskie, kultura muzułmańska.
Nowe państwa w Europie: Frankowie, Karol Wielki, traktat w Verdun, Rzesza Niemiecka.
Konflikt papiestwa z cesarstwem: Schizma wschodnia, spór o inwestyturę, Canossa.
Wyprawy krzyżowe: Przyczyny, przebieg, skutki i zakony rycerskie","1. https://zpe.gov.pl/a/bizancjum---greckie-cesarstwo-rzymian/DuBlMO7jE
2. https://zpe.gov.pl/a/kultura-i-religia-bizancjum-miedzy-wschodem-a-zachodem/Dm1Gvy82B
3. https://zpe.gov.pl/a/europa-karola-wielkiego/D8KiCM53A
4. https://zpe.gov.pl/a/krolestwa-wschodnich-i-zachodnich-frankow/D190HTWPA
5. https://zpe.gov.pl/a/odnowione-cesarstwo-ottonow/DANL7rXjW
6. https://zpe.gov.pl/a/czas-krucjat/D1FVfpIuZ
7. https://zpe.gov.pl/a/arabowie-i-swiat-islamu/Da1gM0YLT",,
,,,,
Najważniejsze,,,,
Jak doszło do powstania dwóch cesarstw rzymskich?,"W 395 roku jeden z cesarzy podzielił wielkie państwo na dwie części, bo ciężko mu było rządzić tak wielkim obszarem.

Podzielił Imperium Rzymskie na dwie części:
* Wschodnią (późniejsze Bizancjum) 
* Zachodnią",Temat: Cesarstwo Bizantyjskie,,
Jaka inaczej nazywa się Cesarstwo Bizantyjskie?,Bizancjum.,Temat: Cesarstwo Bizantyjskie,,
Co ważnego dla prawa zrobił cesarz Justynian?,Nakazał spisać i uporządkować wszystkie rzymskie przepisy w jeden zbiór - Kodeks Justyniana.,Temat: Cesarstwo Bizantyjskie,,
Co pięknego tworzyli artyści w Bizancjum?,"# zbudowali kościół Hagia Sophia (Mądrości Bożej)
# malowali ikony (święte obrazy)
# układali mozaiki (obrazy z kolorowych kamyków)",Temat: Cesarstwo Bizantyjskie,,
Kiedy i przez kogo upadło Cesarstwo Bizantyjskie?,"W 1453 roku, kiedy Turcy zdobyli Konstantynopol.",Temat: Cesarstwo Bizantyjskie,,
Na czym polegała schizma wschodnia (1054 r.)?,"Chrześcijaństwo rozpadło się na dwa wyznania, czyli powstały dwa odrębne Kościoły:
* katolicki (na zachodzie) - podległy pod papieża
* prawosławny (na wschodzie) - podległy pod patriarchę",Temat: Cesarstwo Bizantyjskie,,https://upload.wikimedia.org/wikipedia/commons/6/67/Great_Schism_1054_with_former_borders.png
W którym roku doszło do schizmy wschodniej?,1054 r.,Temat: Cesarstwo Bizantyjskie,,https://upload.wikimedia.org/wikipedia/commons/6/67/Great_Schism_1054_with_former_borders.png
