#SHEETINFO | name=Kl4SP Części mowy i zdania,
Wskaż czasownik w zdaniu: Kasia rysuje piękny obrazek.,rysuje
Wskaż rzeczownik w zdaniu: Na łące pasą się konie.,"łące, konie"
Wskaż przymiotnik w zdaniu: To była bardzo ciekawa książka.,ciekawa
Określ liczbę i rodzaj rzeczownika drzewo.,"liczba pojedyncza, rodzaj nijaki"
Określ przypadek rzeczownika z psem.,narzędnik
Wskaż podmiot w zdaniu: Tomek i jego brat grali w piłkę.,Tomek i jego brat
Wskaż orzeczenie w zdaniu: Dzieci skakały po kałużach.,skakały
Zmień zdanie na równoważnik zdania: Mama piecze ciasto.,"Pieczenie ciasta przez mamę.

Czyli ogólnie: najlepiej zmienić na pytanie: 
Co robienie? Robienie czego?"
Rozwiń równoważnik zdania: Głośne śmiechy w klasie.,W klasie rozbrzmiewały głośne śmiechy.
Jakie to zdanie? Pies biega po ogrodzie. (pojedyncze czy złożone),pojedyncze
Jakie to zdanie? Tomek odrobił lekcje i poszedł na spacer.,złożone
Podaj trzy czasowniki w czasie przeszłym.,"biegał, pisała, śpiewaliśmy"
Podaj trzy czasowniki w czasie teraźniejszym.,"czyta, malujemy, śpią"
Podaj trzy czasowniki w czasie przyszłym.,"pobiegnie, zaśpiewam, napiszecie"
Zamień zdanie z czasu teraźniejszego na przeszły: Dzieci bawią się na podwórku.,Dzieci bawiły się na podwórku.
Zamień zdanie z czasu przeszłego na przyszły: Ola kupiła nowy plecak.,Ola kupi nowy plecak.
Podkreśl przymiotnik w zdaniu: To jest bardzo wysoka góra.,wysoka
Stopniuj przymiotnik ładny.,ładny - ładniejszy - najładniejszy
Stopniuj przymiotnik mądry.,mądry - mądrzejszy - najmądrzejszy
Podaj dwa rzeczowniki w liczbie mnogiej.,"domy, książki"
Podaj dwa rzeczowniki w liczbie pojedynczej.,"drzewo, kot"
Podkreśl orzeczenie w zdaniu: Moja babcia gotuje pyszną zupę.,gotuje
Podkreśl podmiot w zdaniu: Ania czyta książkę.,Ania
Wskaż zdanie złożone: a) Pies biega po podwórku. b) Zjadłem kanapkę i poszedłem do szkoły.,b) Zjadłem kanapkę i poszedłem do szkoły.
Zmień zdanie na pytanie: Kasia ma nową sukienkę.,Czy Kasia ma nową sukienkę?
Zmień zdanie twierdzące na przeczące: Tata kupił nowy samochód.,Tata nie kupił nowego samochodu.
Podkreśl czasownik w zdaniu: Dziecko zasnęło w łóżku.,zasnęło
Zamień zdanie pojedyncze na złożone: Marek jadł obiad.,"Marek jadł obiad, a potem poszedł na spacer."
"Zmień zdanie złożone na pojedyncze: Ola biegła do szkoły, bo się spóźniła.",Spóźniona Ola biegła do szkoły.
Wskaż rzeczownik w zdaniu: Lubię lato.,lato
Określ przypadek rzeczownika do szkoły.,dopełniacz
Wskaż zdanie nierozwinięte: a) Kot siedzi na kanapie. b) Pada.,b) Pada.
Wskaż zdanie rozwinięte: a) Pada deszcz. b) Pada.,a) Pada deszcz.
