#SHEETINFO | name=Kl5SP Rodzaje wypowiedzi
Jakie znasz rodzaje wypowiedzi?,"# Opowiadanie
# Zaproszenie
# Ogłoszenie
# List",
Jakie 5 podstawowych informacji musi zawierać zaproszenie?,"# Kto zaprasza? 
# Kogo zaprasza? 
# Na co zaprasza? 
# Gdzie? 
# Kiedy?"," '''Zaproszenie''' to wiadomość, w której ktoś prosi kogoś, żeby przyszedł na jakieś wydarzenie. Składa się z:
* Nagłówek - co to za wydarzenie, np. „Zaproszenie na urodziny”.
* Treść - kiedy i gdzie się wydarzenie odbędzie, czasem co przynieść lub zabrać.
** Kto zaprasza? 
** Kogo zaprasza? 
** Na co zaprasza? 
** Gdzie? 
** Kiedy?
* Podpis/Nadawca - kto zaprasza, np. „Twoja koleżanka Ania”.
----
Zaproszenie na urodziny

Cześć!

Chciałabym Cię zaprosić na moje 10. urodziny, które odbędą się w sobotę 23 listopada o godzinie 14:00 w moim domu przy ul. Kwiatowej 5. Będzie dużo zabawy i słodkości!

Do zobaczenia!
Ania"
Jakie 3 kluczowe informacje powinno zawierać ogłoszenie?,"# Co się wydarzy/stało? 
# Gdzie? 
# Kiedy?"," '''Ogłoszenie''' to krótka informacja, którą ktoś chce przekazać innym. Składa się z:
* Nagłówek - mówi, o czym jest ogłoszenie, np. „Wycieczka szkolna”.
* Treść 
** Co się wydarzy/stało? 
** Gdzie? 
** Kiedy?
* Podpis/Nadawca - kto daje ogłoszenie, np. „Nauczycielka Anna”.
----
Wycieczka szkolna

W piątek 22 listopada cała klasa 4 wybiera się na wycieczkę do muzeum przyrody. Spotykamy się o 8:00 przy szkole. 
Prosimy zabrać drugie śniadanie i ciepłą kurtkę.

Nauczycielka Anna"
Jaki jest główny cel napisania ogłoszenia?,Przekazanie ważnej informacji szerokiej grupie odbiorców.," '''Ogłoszenie''' to krótka informacja, którą ktoś chce przekazać innym. Składa się z:
* Nagłówek - mówi, o czym jest ogłoszenie, np. „Wycieczka szkolna”.
* Treść 
** Co się wydarzy/stało? 
** Gdzie? 
** Kiedy?
* Podpis/Nadawca - kto daje ogłoszenie, np. „Nauczycielka Anna”.
----
Wycieczka szkolna

W piątek 22 listopada cała klasa 4 wybiera się na wycieczkę do muzeum przyrody. Spotykamy się o 8:00 przy szkole. 
Prosimy zabrać drugie śniadanie i ciepłą kurtkę.

Nauczycielka Anna"
Wymień stałe elementy listu.,"# miejscowość i data
# nagłówek
# treść listu
# zwrot pożegnalny
# podpis"," '''List''' to wiadomość, którą ktoś pisze do innej osoby, żeby coś jej powiedzieć lub zapytać. Składa się z:
* Miejscowość i data
* Nagłówek/Adresat - do kogo jest list, np. „Droga Babciu”.
* Treść - co chcemy powiedzieć, opowiedzieć lub zapytać.
* Zakończenie/Pozdrowienia - np. „Całuję” albo „Pozdrawiam”.
* Podpis - kto pisze list, np. „Twoja wnuczka Ania”.
----
Droga Babciu,

Chciałabym Ci opowiedzieć, że w szkole mieliśmy wycieczkę do muzeum. Było bardzo ciekawie, a ja zrobiłam dużo zdjęć. Mam nadzieję, że wkrótce razem pójdziemy na spacer do parku.

Całuję mocno,
Twoja wnuczka Ania"
Jakiego zwrotu grzecznościowego użyjesz na początku listu do kolegi?,"Na przykład: Cześć Aniu!, Kochany Tomku, Droga Kasiu."," '''List''' to wiadomość, którą ktoś pisze do innej osoby, żeby coś jej powiedzieć lub zapytać. Składa się z:
* Miejscowość i data
* Nagłówek/Adresat - do kogo jest list, np. „Droga Babciu”.
* Treść - co chcemy powiedzieć, opowiedzieć lub zapytać.
* Zakończenie/Pozdrowienia - np. „Całuję” albo „Pozdrawiam”.
* Podpis - kto pisze list, np. „Twoja wnuczka Ania”.
----
Droga Babciu,

Chciałabym Ci opowiedzieć, że w szkole mieliśmy wycieczkę do muzeum. Było bardzo ciekawie, a ja zrobiłam dużo zdjęć. Mam nadzieję, że wkrótce razem pójdziemy na spacer do parku.

Całuję mocno,
Twoja wnuczka Ania"
Jakiego zwrotu grzecznościowego użyjesz na końcu listu do babci?,"Na przykład: Ściskam mocno, Całuję, Twoja wnuczka Ania."," '''List''' to wiadomość, którą ktoś pisze do innej osoby, żeby coś jej powiedzieć lub zapytać. Składa się z:
* Miejscowość i data
* Nagłówek/Adresat - do kogo jest list, np. „Droga Babciu”.
* Treść - co chcemy powiedzieć, opowiedzieć lub zapytać.
* Zakończenie/Pozdrowienia - np. „Całuję” albo „Pozdrawiam”.
* Podpis - kto pisze list, np. „Twoja wnuczka Ania”.
----
Droga Babciu,

Chciałabym Ci opowiedzieć, że w szkole mieliśmy wycieczkę do muzeum. Było bardzo ciekawie, a ja zrobiłam dużo zdjęć. Mam nadzieję, że wkrótce razem pójdziemy na spacer do parku.

Całuję mocno,
Twoja wnuczka Ania"
Z jakich trzech głównych części składa się opowiadanie?,"# wstępu
# rozwinięcia
# zakończenia"," '''Opowiadanie''' to krótka historia, w której ktoś coś przeżywa albo coś się dzieje. Składa się z:
* Wstęp - przedstawienie bohaterów, miejsca i czasu akcji oraz zarysowanie problemu.
* Rozwinięcie - co się wydarzyło, jakie przygody lub problemy miały miejsce.
* Zakończenie - jak historia się skończyła, może być także morał (czyli jakie wnioski wyciągamy z historii)
----
Przygoda w lesie

W sobotę Ania i Tomek poszli do lasu szukać grzybów. Nagle usłyszeli cichy szelest i zobaczyli małego jeża. Postanowili mu pomóc, bo utknął między gałęziami. Po chwili jeż był wolny i pobiegł do lasu. Ania i Tomek wrócili do domu szczęśliwi, że mogli zrobić coś dobrego."
Co to jest narracja?,Opowiadanie o wydarzeniach w utworze literackim; może być pierwszoosobowa (ja) lub trzecioosobowa (on/ona).," '''Opowiadanie''' to krótka historia, w której ktoś coś przeżywa albo coś się dzieje. Składa się z:
* Wstęp - przedstawienie bohaterów, miejsca i czasu akcji oraz zarysowanie problemu.
* Rozwinięcie - co się wydarzyło, jakie przygody lub problemy miały miejsce.
* Zakończenie - jak historia się skończyła, może być także morał (czyli jakie wnioski wyciągamy z historii)
----
Przygoda w lesie

W sobotę Ania i Tomek poszli do lasu szukać grzybów. Nagle usłyszeli cichy szelest i zobaczyli małego jeża. Postanowili mu pomóc, bo utknął między gałęziami. Po chwili jeż był wolny i pobiegł do lasu. Ania i Tomek wrócili do domu szczęśliwi, że mogli zrobić coś dobrego."
Co to jest akapit?,"Fragment tekstu zaczynający się od wcięcia, który stanowi logiczną całość.",
Jakim rodzajem wypowiedzi pisemnej jest tekst zaczynający się od „Serdecznie zapraszam...”?,Zaproszeniem.," '''Zaproszenie''' to wiadomość, w której ktoś prosi kogoś, żeby przyszedł na jakieś wydarzenie. Składa się z:
* Nagłówek - co to za wydarzenie, np. „Zaproszenie na urodziny”.
* Treść - kiedy i gdzie się wydarzenie odbędzie, czasem co przynieść lub zabrać.
** Kto zaprasza? 
** Kogo zaprasza? 
** Na co zaprasza? 
** Gdzie? 
** Kiedy?
* Podpis/Nadawca - kto zaprasza, np. „Twoja koleżanka Ania”.
----
Zaproszenie na urodziny

Cześć!

Chciałabym Cię zaprosić na moje 10. urodziny, które odbędą się w sobotę 23 listopada o godzinie 14:00 w moim domu przy ul. Kwiatowej 5. Będzie dużo zabawy i słodkości!

Do zobaczenia!
Ania"
