#SHEETINFO | name=Kl4SP Akademia Pana Kleksa,
Zanim Adaś Niezgódka trafił do Akademii pana Kleksa był,"niezdarny, niepoukładany i marudny"
Jak miał na imię Pan Kleks?,Ambroży
W jakim wieku Adaś Niezgódka trafił do Akademii?,12 lat
Przy jakiej ulicy mieściła się Akademia pana Kleksa?,Czekoladowej
Ile pięter znajdowało się w budynku Akademii?,trzy
W jaki sposób pan Kleks dostawał się do pomieszczenia ze swoimi sekretami?,przez komin
Na którym piętrze Akademii mieszkał pan Kleks?,drugim
Kto mógł uczyć się w Akademii?,chłopcy o imieniu zaczynającym się na A
Mateusz był:,szpakiem
Kto dostarczał piegi panu Kleksowi?,golarz Filip
Po co pan Kleks wysłał Adasia do bajki pana Andersena?,po zapałki
Ile sióstr miał Mateusz?,cztery
Kogo Mateusz zastrzelił ze swojej broni?,króla wilków
Jaki prezent otrzymał Mateusz od doktora Paj-Chi-Wo?,magiczną czapkę
Jaką zdolność miała czapka podarowana przez doktora Paj-Chi-Wo?,"jej właściciel mógł zamienić się w dowolną istotę, o jakiej pomyśli"
Co się stało z rodzicami Mateusza?,zostali zamordowani przez wilki
"Ile lat miał Mateusz, gdy zamienił się w ptaka?",14
W jaki sposób pan Kleks poznał Mateusza?,kupił go na targu ptaków
Co się działo z panem Kleksem o północy?,zmniejszał się i tracił włosy
Dzięki czemu pan Kleks osiągał normalny wzrost?,pompce powiększającej
W jakich sytuacjach pan Kleks tracił pamięć?,podczas snu
Co zjadał na śniadanie pan Kleks?,szklane kulki i zielony płyn
Do czego potrzebny był panu Kleksowi zielony płyn?,przywracał mu pamięć
Gdzie pan Kleks mógł schować niewyobrażalnie dużą liczbę przedmiotów?,w kieszeniach kamizelki
Jaki zepsuty pojazd naprawił pan Kleks?,tramwaj
"W co zamienił swoje okulary Kleks, przystawiając do nich pompkę powiększającą?",w rower
Co wysyłał Kleks małymi balonikami?,swoje oko
Jakie ciało niebieskie odwiedziło oko pana Kleksa?,księżyc
Na drugie śniadanie pan Kleks jadał?,motyle
"Żeby stać się bardzo lekkim, pan Kleks:",nabierał powietrze do ust i wydymał policzki
O której następowała pobudka w Akademii pana Kleksa?,o piątej
Co mógł robić pan Kleks dzięki lusterkom sennym?,"Dzięki lusterkom sennym pan Kleks widział, co śni się jego podopiecznym"
Co z zebranych snów wytwarzał pan Kleks?,pastylki
O której godzinie rozpoczynały się lekcje w Akademii?,o siódmej
Na jakich zajęciach chłopcy uczyli się pracy z atramentem?,kleksografii
Kto pomógł znaleźć Kleksowi złotą wykałaczkę?,chore sprzęty
Do jakiej bajki wykopali chłopcy piłkę na lekcji geografii?,o Królewnie Śnieżce
Co stało się z Królewną Śnieżką i krasnoludkami?,stopili się i zamienili w strumyczek
"Sos, którym podczas obiadu polewał pieczeń pan Kleks, miał działanie:",wzmacniające dziąsła
Czy Adaś i pan Kleks jedli razem z chłopcami?,"nie, zjedli obiad wcześniej"
Kto nauczył pana Kleksa wytwarzać jadalne farby?,doktor Paj-Chi-Wo
Gdzie Adaś i Artur znaleźli żabę ze złotą koroną?,w żelaznej skrzyni w dziupli
Za znalezienie złotego gwizdka i kluczyka Adaś i Artur dostali:,duże piegi
"Dokąd dotarł Adaś, gdy wzbił się w powietrze ponad miasto?",do psiego raju
Co się stało z Reksem?,wpadł pod samochód
Z czego w psim raju zrobiony był pomnik Doktora Dolittle?,z czekolady
Jakie rośliny rosły w psim raju?,krzaki kiełbasiane
