#SHEETINFO | name=Działania arytmetyczne i zadania tekstowe,,,,,,,
Liczby,,,,,,,
"Zastąp 💠 znakiem <, > lub = tak, aby zapis był prawdziwy:

176 💠 98",176 > 98,,,,,,
"Zastąp 💠 znakiem <, > lub = tak, aby zapis był prawdziwy:

762 💠 156",762 > 156,,,,,,
"Zastąp 💠 znakiem <, > lub = tak, aby zapis był prawdziwy:

689 💠 678",689 > 678,,,,,,
"Zastąp 💠 znakiem <, > lub = tak, aby zapis był prawdziwy:

9 999 💠 19 812",9 999 < 19 812,,,,,,
"Zastąp 💠 znakiem <, > lub = tak, aby zapis był prawdziwy:

10 324 💠 10 524",10 324 < 10 524,,,,,,
"Zastąp 💠 znakiem <, > lub = tak, aby zapis był prawdziwy:

1 761 367 💠 1 761 367",1 761 367 = 1 761 367,,,,,,
,,,,,,,
"Zastąp znak 💟 odpowiednią cyfrą. Podaj wszystkie możliwości.

2💟4 > 279","284 > 279
294 > 279",,,,,,
"Zastąp znak 💟 odpowiednią cyfrą. Podaj wszystkie możliwości.

345 < 3💟5 < 365",345 < 355 < 365,,,,,,
"Zastąp znak 💟 odpowiednią cyfrą. Podaj wszystkie możliwości.

10💟2 < 1032","1002 < 1032
1012 < 1032
1022 < 1032",,,,,,
"Zastąp znak 💟 odpowiednią cyfrą. Podaj wszystkie możliwości.

💟3 823 > 89 999",93 823 > 89 999,,,,,,
"Zastąp znak 💟 odpowiednią cyfrą. Podaj wszystkie możliwości.

999 94💟 > 999 948",999 949 > 999 948,,,,,,
"Zastąp znak 💟 odpowiednią cyfrą. Podaj wszystkie możliwości.

1 000 00💟 < 1 000 001",1 000 000 < 1 000 001,,,,,,
,,,,,,,
