#SHEETINFO | name=Kl5SP Ułamki dziesiętne,,,,
Teoria: https://matematyka.wiki/ulamki-dziesietne,,,,
,,,,
"Zamień 0,25 na ułamek zwykły",\( \frac{1}{4} \),,,
"Zamień 0,2 na ułamek zwykły",\( \frac{1}{5} \),,,
"Zamień 0,125 na ułamek zwykły",\( \frac{1}{8} \),,,
"Zamień 0,1 na ułamek zwykły",\( \frac{1}{10} \),,,
"Zamień 0,01 na ułamek zwykły",\( \frac{1}{100} \),,,
"=""Zamień ""&Q11&"" na ułamek zwykły""","=""\( \frac{""&Q11*10&""}{10} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();1),,
"=""Zamień ""&Q12&"" na ułamek zwykły""","=""\( \frac{""&Q12*10&""}{10} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();1),,
"=""Zamień ""&Q13&"" na ułamek zwykły""","=""\( \frac{""&Q13*10&""}{10} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();1),,
"=""Zamień ""&Q14&"" na ułamek zwykły""","=""\( \frac{""&Q14*100&""}{100} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();2),,
"=""Zamień ""&Q15&"" na ułamek zwykły""","=""\( \frac{""&Q15*100&""}{100} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();2),,
"=""Zamień ""&Q16&"" na ułamek zwykły""","=""\( \frac{""&Q16*1000&""}{1000} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();3),,
"=""Zamień ""&Q17&"" na ułamek zwykły""","=""\( \frac{""&Q17*1000&""}{1000} \)""",~#place-after-tech-cols#~=ROUNDUP(RAND();3),,
,,,,
Zamień \( \frac{5}{10} \) na ułamek dziesiętny,"0,5",,,
,,,,
"Która liczba jest większa: 0,7 czy 0,67?","0,7",,,
"Która liczba jest mniejsza: 0,9 czy 1,05?","0,9",,,
,,,,
"Ile to jest 2,5 + 3,75?","6,25",,,
"=""Ile to jest ""&Q25&"" + ""&R25&""?""","=Q25&"" + ""&R25&"" = ""&Q25+R25",~#place-after-tech-cols#~=RANDBETWEEN(1; 30) + RANDBETWEEN(1; 10)/100,=RANDBETWEEN(1; 30) + RANDBETWEEN(1; 10)/10,
"=""Ile to jest ""&Q26&"" + ""&R26&""?""","=Q26&"" + ""&R26&"" = ""&Q26+R26",~#place-after-tech-cols#~=RANDBETWEEN(1; 30) + RANDBETWEEN(1; 10)/100,=RANDBETWEEN(1; 30) + RANDBETWEEN(1; 10)/10,
"=""Ile to jest ""&Q27&"" + ""&R27&""?""","=Q27&"" + ""&R27&"" = ""&Q27+R27",~#place-after-tech-cols#~=RANDBETWEEN(1; 30) + RANDBETWEEN(1; 10)/100,=RANDBETWEEN(1; 30) + RANDBETWEEN(1; 10)/10,
,,,,
"Ile to jest 7,0 - 4,6?","2,4",,,
"Która liczba jest większa: 0,49 czy 0,5?","0,5",,,
,,,,
"Ile to jest 0,4 + 0,2?","0,6",,,
"Ile to jest 1,25 + 0,75?","2,0",,,
"Ile to jest 1,2 + 0,34?","1,54",,,
"Ile to jest 5 - 2,75?","2,25",,,
"Ile to jest 2,5 - 1,1?","1,4",,,
"Ile to jest 3,2 - 0,8?","2,4",,,
,,,,
"Ile to jest 0,2 ⋅ 3?","0,6",,,
"=""Ile to jest ""&Q40&"" ⋅ ""&R40&""?""",=Q40*R40,~#place-after-tech-cols#~=RANDBETWEEN(7;12)/10,=RANDBETWEEN(7;12),
"=""Ile to jest ""&Q41&"" ⋅ ""&R41&""?""",=Q41*R41,~#place-after-tech-cols#~=RANDBETWEEN(7;12),=RANDBETWEEN(7;12)/10,
"=""Ile to jest ""&Q42&"" ⋅ ""&R42&""?""",=Q42*R42,~#place-after-tech-cols#~=RANDBETWEEN(5;5)/10,=RANDBETWEEN(7;12),
"=""Ile to jest ""&Q43&"" ⋅ ""&R43&""?""",=Q43*R43,~#place-after-tech-cols#~=RANDBETWEEN(7;12)/10,=RANDBETWEEN(7;12)/10,
"=""Ile to jest ""&Q44&"" ⋅ ""&R44&""?""",=Q44*R44,~#place-after-tech-cols#~=RANDBETWEEN(7;12)/10,=RANDBETWEEN(7;12)/10,
"=""Ile to jest ""&Q45&"" ⋅ ""&R45&""?""",=Q45*R45,~#place-after-tech-cols#~=RANDBETWEEN(7;12)/10,=RANDBETWEEN(7;12)/10,
"=""Ile to jest ""&Q46&"" ⋅ ""&R46&""?""",=Q46*R46,~#place-after-tech-cols#~=RANDBETWEEN(7;12)/10,=RANDBETWEEN(7;12)/10,
"=""Ile to jest ""&Q47&"" ⋅ ""&R47&""?""",=Q47*R47,~#place-after-tech-cols#~=RANDBETWEEN(7;12)/10,=RANDBETWEEN(7;12)/10,
"=""Ile to jest ""&Q48&"" ⋅ ""&R48&""?""",=Q48*R48,~#place-after-tech-cols#~=RANDBETWEEN(38;52)/10,=10,
"Ile to jest 0,5 ⋅ 4?","2,0",,,
"Ile to jest 1,5 ⋅ 2?","3,0",,,
"Ile to jest 0,3 ⋅ 0,2?","0,06",,,
"Ile to jest 2,4 ⋅ 10?","24,0",,,
,,,,
"Ile to jest 2,4 : 2?","1,2",,,
"Ile to jest 1,2 : 3?","0,4",,,
"Ile to jest 0,6 : 2?","0,3",,,
"Ile to jest 2 : 0,5?","4,0",,,
"=""Ile to jest ""&Q58&"" : ""&R58&""?""","=Q58&"" : ""&R58&"" = ""&Q58/R58",~#place-after-tech-cols#~=RANDBETWEEN(7;12)/10,=2,
"=""Ile to jest ""&Q59&"" : ""&R59&""?""","=Q59&"" : ""&R59&"" = ""&Q59/R59",~#place-after-tech-cols#~=RANDBETWEEN(7;19)/10,=2,
"=""Ile to jest ""&Q60&"" : ""&R60&""?""","=Q60&"" : ""&R60&"" = ""&Q60/R60",~#place-after-tech-cols#~=RANDBETWEEN(3;8)*3/10,=3,
"=""Ile to jest ""&Q61&"" : ""&R61&""?""","=Q61&"" : ""&R61&"" = ""&Q61/R61",~#place-after-tech-cols#~=RANDBETWEEN(5;13)*3/10,=3,
"=""Ile to jest ""&Q62&"" : ""&R62&""?""","=Q62&"" : ""&R62&"" = ""&Q62/R62",~#place-after-tech-cols#~=RANDBETWEEN(7;19),=RANDBETWEEN(5;5)/10,
"=""Ile to jest ""&Q63&"" : ""&R63&""?""","=Q63&"" : ""&R63&"" = ""&Q63/R63",~#place-after-tech-cols#~=RANDBETWEEN(7;19),=RANDBETWEEN(5;5)/10,
"Ile to jest 3,6 : 0,6?","6,0",,,
"Ile to jest 4,5 : 0,9?",5,,,
,,,,
"=""Ile to jest ""&Q67&"" : ""&R67&""?""","=Q67&"" : ""&R67&"" = ""&Q67/R67",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*6,=RANDBETWEEN(6;6)/10,
"=""Ile to jest ""&Q68&"" : ""&R68&""?""","=Q68&"" : ""&R68&"" = ""&Q68/R68",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*6,=RANDBETWEEN(6;6)/10,
"=""Ile to jest ""&Q69&"" : ""&R69&""?""","=Q69&"" : ""&R69&"" = ""&Q69/R69",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*S69/10,=S69/10,=RANDBETWEEN(2;7)
"=""Ile to jest ""&Q70&"" : ""&R70&""?""","=Q70&"" : ""&R70&"" = ""&Q70/R70",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*S70/10,=S70/10,=RANDBETWEEN(2;7)
"=""Ile to jest ""&Q71&"" : ""&R71&""?""","=Q71&"" : ""&R71&"" = ""&Q71/R71",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*S71/10,=S71/10,=RANDBETWEEN(2;7)
,,,,
"=""Ile to jest ""&Q73&"" : ""&R73&""?""","=Q73&"" : ""&R73&"" = ""&Q73/R73",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*6,=RANDBETWEEN(6;6)/10,
"=""Ile to jest ""&Q74&"" : ""&R74&""?""","=Q74&"" : ""&R74&"" = ""&Q74/R74",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*S74/10,=S74/10,=RANDBETWEEN(2;7)
"=""Ile to jest ""&Q75&"" : ""&R75&""?""","=Q75&"" : ""&R75&"" = ""&Q75/R75",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*6,=RANDBETWEEN(6;6)/10,
"=""Ile to jest ""&Q76&"" : ""&R76&""?""","=Q76&"" : ""&R76&"" = ""&Q76/R76",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*S76/10,=S76/10,=RANDBETWEEN(2;7)
"=""Ile to jest ""&Q77&"" : ""&R77&""?""","=Q77&"" : ""&R77&"" = ""&Q77/R77",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*6,=RANDBETWEEN(6;6)/10,
"=""Ile to jest ""&Q78&"" : ""&R78&""?""","=Q78&"" : ""&R78&"" = ""&Q78/R78",~#place-after-tech-cols#~=RANDBETWEEN(2;7)*S78/10,=S78/10,=RANDBETWEEN(2;7)
,,,,
Zadania tekstowe,,,,
"Książka kosztuje 29,90 zł. Ile zapłacimy za 2 takie książki?","59,80 zł",,,
"Czekolada kosztuje 4,50 zł. Ile zapłacisz za 4 takie czekolady?","18,00 zł",,,
"Paczka waży 2,4 kg. Ile waży 5 takich paczek?",12 kg,,,
"Kamil kupił 3 zeszyty po 4,20 zł i ołówek za 2,10 zł. Ile zapłacił razem?","14,7",,,
"Bochenek chleba kosztuje 3,60 zł. Ile kosztują 4 bochenki?","14,4",,,
"Do napełnienia basenu potrzeba 4,5 m³ wody. Ile wody potrzeba do napełnienia 3 takich basenów?","13,5 m³",,,
"Dzieci zebrały razem 6,4 kg grzybów. Ania zebrała 2,5 kg, Bartek 1,9 kg. Ile zebrał Franek?",2 kg,,,
"Mama podzieliła 3 litry soku do butelek po 0,5 litra. Ile butelek napełniła?",6,,,
"Tomek kupił 4 jabłka po 1,25 zł i banana za 2,30 zł. Ile zapłacił razem?","7,30 zł",,,
"Tata kupił 5 litrów farby. Na jeden pokój potrzeba 1,25 litra. Na ile pokoi wystarczy farby?",4,,,
"Ania ma 2 metry wstążki. Potrzebuje kawałków po 0,4 metra. Ile takich kawałków może wyciąć?",5,,,
"W sklepie kilogram pomidorów kosztuje 6,80 zł. Ile zapłacisz za 3 kg?","20,40 zł",,,
"Ola kupiła 2 notesy po 3,70 zł i długopis za 2,60 zł. Ile zapłaciła razem?",10 zł,,,
"Samochód przejeżdża 60 km w godzinę. Ile przejedzie w 4,5 godziny?",270 km,,,
"Mama kupiła 3,5 kg jabłek i 2,25 kg gruszek. Ile kilogramów owoców kupiła razem?","5,75 kg",,,
"W jednej godzinie rowerzysta przejeżdża 12 km. Ile przejedzie w 2,5 godziny?",30 km,,,
