#SHEETINFO | name=Kl5SP Wielokąty,,,,
,"Teoria:

https://zpe.gov.pl/a/wielokaty-i-ich-wlasnosci/DlPZe6xCl
https://zpe.gov.pl/a/wielokaty-foremne/DyKt6AbYX
https://zpe.gov.pl/a/przeczytaj/DwdmuPmu8
https://zpe.gov.pl/a/suma-katow-wewnetrznych-trojkata/DzoGUlRjq
https://www.medianauka.pl/wielokat",,,
,,,,
Co to jest wielokąt?,"Część płaszczyzny ograniczona łamaną (zwyczajną zamkniętą), wraz z tą łamaną.",,,
Jak nazywamy końce boków wielokąta?,Wierzchołki wielokąta.,,,
Co to są kąty wewnętrzne wielokąta?,Kąty utworzone między sąsiednimi bokami wielokąta.,,,
Jak nazywamy kąty między kolejnymi bokami wielokąta?,Kąty wewnętrzne wielokąta.,,,
"Jak nazywa się wielokąt, który ma wszystkie boki równej długości i wszystkie kąty równej miary?",Wielokąt foremny.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Regular_polygons_qtl1.svg/2560px-Regular_polygons_qtl1.svg.png
Czym jest obwód wielokąta?,Suma długości wszystkich jego boków.,,,
"Ile boków, kątów i wierzchołków ma siedmiokąt?",7,,,
Ile przekątnych ma czworokąt?,2,,,
"Oblicz obwód trójkąta o bokach długości 4 cm, 5 cm i 6 cm",15 cm,,,
Oblicz obwód kwadratu o boku 7 cm,28 cm,,,
Jaki jest obwód pięciokąta foremnego o boku długości 6 cm?,30 cm,,,
"Podaj przykład czworokąta, który jest wielokątem foremnym.",Kwadrat,,,
Ile przekątnych wychodzi z jednego wierzchołka w sześciokącie?,3,,,
Oblicz obwód prostokąta o bokach 5 cm i 8 cm,26 cm,,,
"Jak nazywamy odcinek łączący dwa wierzchołki wielokąta, który nie jest jego bokiem?",Przekątna.,,,
Co to są boki wielokąta?,"Odcinki, z których składa się łamana zamknięta ograniczająca wielokąt.",,,
"Jak nazywamy odcinki, z których składa się łamana zamknięta wielokąta?",Boki wielokąta.,,,
Co to są wierzchołki wielokąta?,"Punkty, w których łączą się boki wielokąta.",,,
"Jaka jest suma miar kątów w dowolnym czworokącie (np. w kwadracie, prostokącie, rombie)?",360°,,,
,,,,
Ile wynosi suma miar kątów wewnętrznych w dowolnym trójkącie?,180°,,,
"Jak nazywamy równoległobok, który ma wszystkie boki równej długości?",Romb.,,,
,,,,
"Jak nazywamy trójkąt, który ma wszystkie boki różnej długości?",Trójkąt różnoboczny.,,,
"Jak nazywamy trójkąt, który ma co najmniej dwa boki równej długości?",Trójkąt równoramienny.,,,
"Jak nazywamy trójkąt, który ma wszystkie boki jednakowej długości?",Trójkąt równoboczny.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Equilateral_Triangle.svg/2560px-Equilateral_Triangle.svg.png
Czym charakteryzuje się trójkąt równoboczny?,Ma wszystkie boki oraz kąty wewnętrzne równej długości i miary.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Equilateral_Triangle.svg/2560px-Equilateral_Triangle.svg.png
