Dlaczego oddychamy?,"Oddychamy, aby dostarczyć tlen do organizmu i usunąć dwutlenek węgla.",
Jaka jest główna funkcja płuc?,Płuca umożliwiają wymianę gazową - pobieranie tlenu i usuwanie dwutlenku węgla.,
Jakie narządy wchodzą w skład układu oddechowego?,"# jama nosowa
# gardło
# krtań
# tchawica
# oskrzela i oskrzeliki
# płuca",
Co dzieje się w płucach?,"W płucach zachodzi wymiana gazowa - tlen przechodzi do krwi, a dwutlenek węgla jest usuwany.",
Dlaczego lepiej oddychać przez nos niż przez usta?,"Powietrze jest oczyszczane, ogrzewane i nawilżane w jamie nosowej.",
Jakie są główne funkcje układu oddechowego?,"Dostarcza tlen, usuwa dwutlenek węgla, oczyszcza i ogrzewa powietrze.",
Jaka jest funkcja tchawicy?,Tchawica transportuje powietrze do płuc i oczyszcza je z zanieczyszczeń.,
Jaka jest funkcja krtani?,Krtań to narząd głosu - umożliwia mówienie.,"W krtani znajdują się fałdy głosowe, zwane strunami głosowymi."
Czym różni się powietrze wdychane od wydychanego?,"Powietrze wdychane zawiera więcej tlenu, a wydychane więcej dwutlenku węgla.",
Gdzie zachodzi wymiana gazowa?,Wymiana gazowa zachodzi w pęcherzykach płucnych.,
Jakie gazy biorą udział w oddychaniu?,Tlen (O₂) i dwutlenek węgla (CO₂).,
Co dzieje się podczas wdechu?,Powietrze bogate w tlen dostaje się do płuc.,
Co dzieje się podczas wydechu?,Powietrze zawierające dwutlenek węgla jest usuwane z organizmu.,
Jakie są funkcje jamy nosowej?,"Oczyszcza, ogrzewa i nawilża powietrze.",
Jakie są funkcje oskrzeli?,Transportują powietrze do płuc i rozprowadzają je do oskrzelików.,
Jakie są funkcje oskrzelików?,Doprowadzają powietrze do pęcherzyków płucnych.,
Jaką rolę pełnią pęcherzyki płucne?,Umożliwiają wymianę gazową między płucami a krwią.,
Co transportuje tlen w organizmie?,Tlen transportowany jest przez krew za pomocą hemoglobiny w czerwonych krwinkach.,
"Co się dzieje, gdy brakuje tlenu w organizmie?","Brak tlenu prowadzi do osłabienia, utraty przytomności, a nawet śmierci.",
Dlaczego aktywność fizyczna zwiększa częstotliwość oddychania?,"Podczas wysiłku mięśnie zużywają więcej tlenu, dlatego organizm oddycha szybciej, by go dostarczyć.",
Gdzie zachodzi oddychanie?,Oddychanie zachodzi we wszystkich komórkach ciała,
Co jest celem oddychania?,Celem oddychania jest wytworzenie energii potrzebnej do przeprowadzania różnych czynności życiowych. ,
Z czego zbudowany jest układ oddechowy?,"Układ oddechowy jest zbudowany z płuc oraz dróg odechowych, które dostarczają powietrze do płuc.",
Co dzieje się w drogach oddechowych?,"W drogach oddechowych powietrze jest oczyszczane, nawilżane i ogrzewane.",
Co się dzieje w trakcie wdechu i wydechu?,"Podczas wdechu do płuc jest dostarczane powietrze zawierające dużo tlenu, a podczas wydechu dwutlenek wegla jest usuwany z płuc.",
Jaką rolę pełnią płuca?,Płuca to narzady wymlany gazowej. Zachodzi w nich pobieranie tlenu i usuwanie dwutlenku węgla.,
