"Getting Started"
"Your question goes here.","Your answer goes here.","You can store additional information here.","","","The content of this column will not be presented by the SpreadsheetMemo app."
"This document is your canvas! 🎨
Feel free to add, edit, and organize your content.","You can insert new rows for more questions, delete ones you no longer need, or even rearrange them to change the order.","Friendly tip: When moving or deleting content, it's best to operate on entire rows. This ensures everything stays perfectly aligned and the app runs smoothly ✨","https://support.google.com/docs/answer/44684","",""
"You can replace this example content.","You can add as many questions and answers as you want.","","","","You can use this column for additional or private notes."
"You can add links to your content.","For example, a reference to Google Sheets Help: ""How to use Named Ranges in Google Sheets"".","","https://support.google.com/docs/answer/63175?co=GENIE.Platform%3DDesktop&oco=1

https://support.google.com/docs/answer/63175?co=GENIE.Platform%3DAndroid&oco=1

https://support.google.com/docs/answer/63175?co=GENIE.Platform%3DiOS&oco=1","","You can use this column to store extra info. Use it according to your needs."
"You can add multiple images to your content.","Sometimes, words are not enough.","Adding an image can enrich your content. It's especially useful for visualizing concepts to help you remember things more quickly and effectively.","","https://upload.wikimedia.org/wikipedia/commons/5/58/Memory.gif

https://upload.wikimedia.org/wikipedia/commons/5/58/Brain_regions_in_memory_formation_updated.jpg",""
"You can use multiple sheets in a single spreadsheet.","This example document uses content from two different sheets:
* Latin Vocabulary (hidden from this tutorial lesson - try unlocking it! ☺️)
* Tutorial","Can you figure out why the 'Latin Vocabulary' sheet is excluded from this lesson?

💡 Hint: Open this spreadsheet in your Google Drive and look for the asterisk (*) in the sheet's name.
What happens if you remove it?","","",""
"You can also use Named Ranges to organize your content.","Named Ranges are useful for slicing your SpreadsheetMemo documents into smaller, named parts.","","https://support.google.com/docs/answer/63175","",""
""
"Advanced Features","","","","",""
"How ⬜ people were at the concert? 

much/many","many","You can use special characters and emojis like ⬜, ❇️, ❌, ✅, ⁇, 🌀, 💟, or 💠 to create fill-in-the-blank questions.

It's a great way to test your knowledge of specific words or concepts in context.","","",""
"You can enrich your content by using [https://en.wikipedia.org/wiki/Help:Wiki_markup Wiki Markup].

Supported features include: Text formatting (bold, italic), indented text, lists, sections, external links, images, and YouTube videos.","Line of regular text
----
Some more lines
: A line with an indent
:: A 2-level indented line
:: another one
: back to a 1-level indented line
----
# First item of the list
# Second
## Second-First
*** First Point
*** Second Point
#### z
#### y
#### x
*** Third Point
## Second-Second
## Second-Third
# Third","Some bold and italic content.
With a bold-italic new line.
== Section H2 ==
=== Section H3 ===
==== Section H4 ====
===== Section H5 =====

Link: [https://www.facebook.com/SpreadsheetMemo SpreadsheetMemo on Facebook]
Bold link: [https://x.com/SpreadsheetMemo SpreadsheetMemo on X (Twitter)]
Bold-italic link: [https://spreadsheetmemo.com SpreadsheetMemo Homepage]

Image: [[File:https://res.cloudinary.com/antlightcode/image/upload/v1761301755/spreadsheetmemo_app/lesson_inner_image.png]]

SpreadsheetMemo Tutorial Video:
[[Video:https://www.youtube.com/watch?v=GBvcCzdy9vc?start=142]]","https://en.wikipedia.org/wiki/Help:Wiki_markup","",""
"You can use coloring to highlight important elements thanks to Wiki Markup color formatting.","Set text color by using <span style=""color:#FF0000"">This text will be red</span>.
Set background color by using <span style=""background:green"">This text will have a green background</span>.
Set both by using <span style=""color:#FFFF00; background:#00C000"">This text will be yellow with a green background</span>.","Use <span style=""color:#7B68EE"">your</span> imag<span style=""color:#FF69B4"">in</span>ation! 👍","https://www.mediawiki.org/wiki/Help:Text_color","",""
"You can add mathematical equations or formulas.

For example, AsciiMath notation:

`x=(-b +- sqrt(b^2 - 4ac))/(2a)`","TeX formulas: \[ A_{m,n} =
\begin{pmatrix}
a_{1,1} & a_{1,2} & \cdots & a_{1,n} \\
a_{2,1} & a_{2,2} & \cdots & a_{2,n} \\
\vdots & \vdots & \ddots & \vdots \\
a_{m,1} & a_{m,2} & \cdots & a_{m,n}
\end{pmatrix} \]","TeX Inline (within text) equations like: \( \displaystyle\sum_{k=1}^n k^2 = \frac{1}{2} n (n+1) \)","https://en.wikipedia.org/wiki/AsciiMath

https://www.mathjax.org

https://en.wikibooks.org/wiki/LaTeX/Mathematics","",""
"=""Random values and Google Sheets formulas! 🎲

 \( \frac{""&Q18&""}{""&R18&""} \) ⋅ \( \frac{""&S18&""}{""&T18&""} \) = ?""","=""\( \frac{""&(Q18*S18)/GCD(Q18*S18;R18*T18)&""}{""&(R18*T18)/GCD(Q18*S18;R18*T18)&""} \)""","SpreadsheetMemo fully supports '''Google Sheets formulas'''.
 You can make your questions and answers dynamic, for example, to generate random values or perform '''automatic calculations'''.
 
 Try building your own formulas - they will generate new values each time you start a new lesson!","","","","","","","","","","","","","=R18-RANDBETWEEN(1;R18-1)","=RANDBETWEEN(2;10)","=R18*RANDBETWEEN(2;15)","=RANDBETWEEN(2;10)"
