#SHEETINFO | name=Vocabulary - Advanced,,,,,
"długi krok
postęp w chodzie lub symboliczny postęp w działaniu",stride,"~#tts:nap:en-US{He strode confidently across the stage, receiving a standing ovation.}#~",,,~#ttsA:en-US#~
chód,gait,"~#tts:nap:en-US{Her graceful gait made her seem almost ethereal.}#~
~#tts:nap:en-US{Her gait was slow and deliberate.}#~",,,~#ttsA:en-US#~
"drzmiący, bezczynny",dormant,~#tts:nap:en-US{The dormant volcano has not erupted in centuries.}#~,,,~#ttsA:en-US#~
"spojrzenie, wzrok",gaze,"~#tts:nap:en-US{glance, peek, look, glint}#~

~#tts:nap:en-US{He gazed longingly at the setting sun.}#~",,,~#ttsA:en-US#~
bruzda,furrow,~#tts:nap:en-US{The furrow on his brow indicated his deep concern.}#~,,,~#ttsA:en-US#~
"daremny, bezcelowy, próżny, bezowocny",futile,"~#tts:nap:en-US{His efforts were futile.}#~
~#tts:nap:en-US{Their attempts to rescue the trapped animals were futile.}#~",,,~#ttsA:en-US#~
"rosły, silny, krzepki",stalwart,~#tts:nap:en-US{The stalwart soldier stood his ground against the enemy.}#~,,,~#ttsA:en-US#~
strażnik,sentinel,~#tts:nap:en-US{The sentinel stood guard at the entrance to the castle.}#~,,,~#ttsA:en-US#~
deszcz ze śniegiem,sleet,~#tts:nap:en-US{The sleet made driving conditions treacherous.}#~,,,~#ttsA:en-US#~
"występ, sterczeć",jut,~#tts:nap:en-US{The rocky cliffs jutted out into the sea.}#~,,,~#ttsA:en-US#~
rozeznać,to discern,~#tts:nap:en-US{He discerned the truth.}#~,,,~#ttsA:en-US#~
nieporęczny,cumbersome,~#tts:nap:en-US{The bag was cumbersome.}#~,,,~#ttsA:en-US#~
wrzos,heather,~#tts:nap:en-US{The heather-covered hills were a beautiful sight.}#~,,,~#ttsA:en-US#~
"zwolennik, orędownik (formalnie)",proponent,"~#tts:nap:en-US{follower, advocate, supporter}#~
~#tts:nap:en-US{adherent, backer, partisan}#~

~#tts:nap:en-US{He was a proponent of renewable energy.}#~",,,~#ttsA:en-US#~
oszustwo,deceit,"~#tts:nap:en-US{Her deceit was finally exposed.}#~
~#tts:nap:en-US{He was guilty of deceit.}#~",,,~#ttsA:en-US#~
"lęk, męka, udręka, cierpienie",anguish,"~#tts:nap:en-US{The anguish of losing a loved one is unbearable.}#~

~#tts:nap:en-US{She was in anguish over the loss of her child.}#~",,,~#ttsA:en-US#~
"dym, fetor, wyziew",reek,"~#tts:nap:en-US{smoke}#~

~#tts:nap:en-US{The room reeked of cigarette smoke.}#~",,,~#ttsA:en-US#~
smród,stench,~#tts:nap:en-US{The stench of the garbage was unbearable.}#~,,,~#ttsA:en-US#~
"wyć, ryczeć",to howl,~#tts:nap:en-US{The wolf howled at the moon.}#~,,,~#ttsA:en-US#~
"szlochać, łkać",to sob,"~#tts:nap:en-US{to weep, to bawl}#~

~#tts:nap:en-US{She sobbed uncontrollably.}#~

~#tts:nap:en-US{She sobbed uncontrollably after hearing the bad news.}#~",,,~#ttsA:en-US#~
"jałowy, bezpłodny",barren,~#tts:nap:en-US{The desert was barren and desolate.}#~,,,~#ttsA:en-US#~
otępienie,stupor,"~#tts:nap:en-US{state of stupefaction, state of senselessness}#~ 
~#tts:nap:en-US{state of unconsciousness, inertness}#~
~#tts:nap:en-US{torpor, insensibility, numbness, blankness}#~
~#tts:nap:en-US{oblivion, coma, blackout}#~

~#tts:nap:en-US{He fell into a stupor after taking the medication.}#~",,,~#ttsA:en-US#~
"pchnąć, dźgnąć",to stab,~#tts:nap:en-US{The burglar stabbed the homeowner.}#~,,,~#ttsA:en-US#~
"wyrzutek, wygnaniec",outcast,"~#tts:nap:en-US{exile, outlaw}#~

~#tts:nap:en-US{She was an outcast from her family.}#~",,,~#ttsA:en-US#~
obdarty,tattered,~#tts:nap:en-US{His clothes were tattered and torn.}#~,,,~#ttsA:en-US#~
"udawany, pośmiewisko, wykpić",to mock,~#tts:nap:en-US{He mocked her accent.}#~,,,~#ttsA:en-US#~
"jelito, wnętrzności

odwaga, siła",gut,"~#tts:nap:en-US{He felt a knot in his gut.}#~

~#tts:nap:en-US{He had a bad gut feeling about the deal.}#~",,,~#ttsA:en-US#~
niedbały,remiss,"~#tts:nap:en-US{careless negligent}#~
~#tts:nap:en-US{neglectful, lax, loose}#~

~#tts:nap:en-US{It was remiss of him to forget her birthday.}#~",,,~#ttsA:en-US#~
bezpodstawne twierdzenie,allegation,~#tts:nap:en-US{The allegation of theft was unfounded.}#~,,,~#ttsA:en-US#~
"dyszeć, sapać, łapać powietrze z trudem",to gasp,"~#tts:nap:en-US{blow, puff, heave, pant}#~

~#tts:nap:en-US{He gasped in surprise.}#~

~#tts:nap:en-US{She gasped in astonishment.}#~",,,~#ttsA:en-US#~
"nie pozostawać w tyle, ramię przy ramieniu",abreast,~#tts:nap:en-US{They were keeping abreast of the latest news.}#~,,,~#ttsA:en-US#~
"zupełny, absolutny, całkowity",utter,~#tts:nap:en-US{She uttered a single word.}#~,,,~#ttsA:en-US#~
barka,barge,"~#tts:nap:en-US{The barge was loaded with cargo.}#~

~#tts:nap:en-US{The barge floated down the river, carrying cargo.}#~",,,~#ttsA:en-US#~
"wyzywający, prowokujący, zbuntowany",defiant,~#tts:nap:en-US{He was defiant and refused to apologize.}#~,,,~#ttsA:en-US#~
gardzić,to despise,~#tts:nap:en-US{She despised him for his cruelty.}#~,,,~#ttsA:en-US#~
"gniew, oburzenie",wrath,~#tts:nap:en-US{His wrath was terrible to behold.}#~,,,~#ttsA:en-US#~
"prawdziwy, oryginalny, rasowy",genuine,~#tts:nap:en-US{His smile was genuine and heartfelt.}#~,,,~#ttsA:en-US#~
"gotować na wolnym ogniu, dusić",to simmer,~#tts:nap:en-US{The soup was simmering on the stove.}#~,,,~#ttsA:en-US#~
"zrobić gest w kierunku czegoś/kogoś
wskazywać","to motion toward
to indicate",~#tts:nap:en-US{He motioned toward the door.}#~,,,"~#ttsA:en-US#~
~#no-swap#~"
"skinienie, kiwnięcie głową",nod,~#tts:nap:en-US{He nodded in agreement.}#~,,,~#ttsA:en-US#~
"duchowy, wewnętrzny",inward,"~#tts:nap:en-US{He turned inward, lost in thought.}#~",,,~#ttsA:en-US#~
"niezdecydowany

wahać się","hesitant

to hesitate",~#tts:nap:en-US{She hesitated before answering.}#~,,,~#ttsA:en-US#~
"szorstki, zdawkowy",curt,~#tts:nap:en-US{He was curt and rude to the waiter.}#~,,,~#ttsA:en-US#~
uprzedzony,prejudiced,"~#tts:nap:en-US{biased, partial}#~

~#tts:nap:en-US{It's wrong to be prejudiced against people because of their background.}#~",,,~#ttsA:en-US#~
"wlec się doleźć, męczący marsz",trudge,~#tts:nap:en-US{He trudged through the snow.}#~,,,~#ttsA:en-US#~
"szorstki, niemiły, przykry",harsh,~#tts:nap:en-US{The weather was harsh and unforgiving.}#~,,,~#ttsA:en-US#~
"błagać, czarować",to conjure,~#tts:nap:en-US{He conjured up a terrifying image in his mind.}#~,,,~#ttsA:en-US#~
welon,veil,~#tts:nap:en-US{The bride wore a veil.}#~,,,~#ttsA:en-US#~
"zręczny, zwinny",deft,~#tts:nap:en-US{She was a deft dancer.}#~,,,~#ttsA:en-US#~
"oszukaństwo, podstęp",deception,~#tts:nap:en-US{His deception was exposed.}#~,,,~#ttsA:en-US#~
"zdziwienie, zaskoczenie",astonishment,~#tts:nap:en-US{His astonishment was evident.}#~,,,~#ttsA:en-US#~
dawca,donor,~#tts:nap:en-US{He was a generous donor to the charity.}#~,,,~#ttsA:en-US#~
"chętny, entuzjastyczny, bardzo zainteresowany",keen,"~#tts:nap:en-US{ardent, passionate, zealous, fervent}#~

~#tts:nap:en-US{She had a keen sense of smell.}#~",,,~#ttsA:en-US#~
"prześladowanie, śledzenie

łodyga",stalk,"~#tts:nap:en-US{The tiger stalked its prey.}#~

~#tts:nap:en-US{The stalk of the flower was long and slender.}#~",,,~#ttsA:en-US#~
"sondować, badać
pojąć, zgłębić",to fathom,"~#tts:nap:en-US{to comprehend, to understand, to grasp, to figure out, to conceive}#~

~#tts:nap:en-US{I can't fathom why he did that.}#~",,,~#ttsA:en-US#~
"pilny, nagły",urgent,~#tts:nap:en-US{It was urgent that he call the doctor.}#~,,,~#ttsA:en-US#~
"opieka, nadzór, areszt",custody,~#tts:nap:en-US{The child was placed in the custody of his grandparents.}#~,,,~#ttsA:en-US#~
westchnienie,sigh,~#tts:nap:en-US{She sighed with relief after finishing her homework.}#~,,,~#ttsA:en-US#~
"odłączyć, oderwać, odbić",to detach,~#tts:nap:en-US{The doctor detached the bandage from his wound.}#~,,,~#ttsA:en-US#~
"chrzęst, brzęczenie",clash,~#tts:nap:en-US{The two armies clashed in battle.}#~,,,~#ttsA:en-US#~
"emerytura, renta",pension,~#tts:nap:en-US{He retired on a pension.}#~,,,~#ttsA:en-US#~
"zmarszczka, fałda",wrinkle,~#tts:nap:en-US{Her face was covered in wrinkles.}#~,,,~#ttsA:en-US#~
szelest,rustle,~#tts:nap:en-US{The leaves rustled in the wind.}#~,,,~#ttsA:en-US#~
dojrzały (owoc),ripe,"~#tts:nap:en-US{mature}#~ - dojrzały człowiek

~#tts:nap:en-US{The fruit was ripe and juicy.}#~",,,~#ttsA:en-US#~
"silna tęsknota, pragnienie czegoś (lub kogoś)",longing,"~#tts:nap:en-US{wistful}#~

~#tts:nap:en-US{She felt a longing for her homeland.}#~",,,~#ttsA:en-US#~
polędwica,loin,~#tts:nap:en-US{The steak was cut from the loin.}#~,,,~#ttsA:en-US#~
"parować, wyparować",to evaporate,~#tts:nap:en-US{The water evaporated in the heat.}#~,,,~#ttsA:en-US#~
"pobłażanie, uleganie, zaspokojenie

pobłażliwy, folgujący

dogadzać sobie lub komuś, pozwalać na przyjemności; też folgować (np. słabości, zachciankom)","indulgence

indulgent

to indulge",~#tts:nap:en-US{She indulged in a chocolate cake.}#~,,,~#ttsA:en-US#~
"znieść, przetrzymać, wytrwać",to endure,~#tts:nap:en-US{She endured the pain bravely.}#~,,,~#ttsA:en-US#~
celibat,celibacy,~#tts:nap:en-US{He took a vow of celibacy.}#~,,,~#ttsA:en-US#~
wdowa,widow,~#tts:nap:en-US{She was a widow.}#~,,,~#ttsA:en-US#~
rozdarty,torn,~#tts:nap:en-US{His heart was torn between love and duty.}#~,,,~#ttsA:en-US#~
"odźwierny, mistrz ceremonii",usher,~#tts:nap:en-US{The usher showed them to their seats.}#~,,,~#ttsA:en-US#~
"przeciwny, odwrotny",contrary,"~#tts:nap:en-US{Contrary to popular belief, cats are not always selfish.}#~",,,~#ttsA:en-US#~
"trafny, słuszny",apt,"~#tts:nap:en-US{He was an apt student.}#~

~#tts:nap:en-US{His comment was very apt and to the point.}#~",,,~#ttsA:en-US#~
"zamieszanie, wrzawa
nadmierne zamartwianie się",fuss,"~#tts:nap:en-US{commotion, turmoil, perturbation, mix-up, ruckus}#~

~#tts:nap:en-US{She made a fuss about the small matter.}#~",,,~#ttsA:en-US#~
wydęcie warg,pout,~#tts:nap:en-US{She pouted when she didn't get what she wanted.}#~,,,~#ttsA:en-US#~
"podskok, wstrząśniecie",jolt,~#tts:nap:en-US{The car came to a sudden jolt.}#~,,,~#ttsA:en-US#~
"nietrwały, zbieg",fugitive,~#tts:nap:en-US{The fugitive was on the run from the police.}#~,,,~#ttsA:en-US#~
kołowrót przy wejściu (do metra),turnstile,~#tts:nap:en-US{They passed through the turnstile at the stadium.}#~,,,~#ttsA:en-US#~
"grodź, przegroda (szczególnie w statkach i samolotach)",bulkhead,"~#tts:nap:en-US{partition}#~

~#tts:nap:en-US{The bulkhead was damaged in the storm.}#~",,,~#ttsA:en-US#~
"słaby, nikły

zemdleć","faint

to faint","~#tts:nap:en-US{timid, bashful, timorous}#~

~#tts:nap:en-US{She felt faint after running.}#~",,,~#ttsA:en-US#~
"przechylony, koślawy",lopsided,~#tts:nap:en-US{The cake was lopsided.}#~,,,~#ttsA:en-US#~
"szturm, napad",assault,~#tts:nap:en-US{He was charged with assault.}#~,,,~#ttsA:en-US#~
"nozdrze, chrapa",nostril,~#tts:nap:en-US{He sneezed and blew his nose.}#~,,,~#ttsA:en-US#~
"mroczny, ciemny",murky,~#tts:nap:en-US{The water was murky and unclear.}#~,,,~#ttsA:en-US#~
sztaluga,easel,~#tts:nap:en-US{She set up the easel to paint.}#~,,,~#ttsA:en-US#~
szarpać,to yank,~#tts:nap:en-US{He yanked the door open.}#~,,,~#ttsA:en-US#~
"melodia z dzwonów, grzmieć",peal,~#tts:nap:en-US{The bells pealed loudly.}#~,,,~#ttsA:en-US#~
zegar słoneczny,sundial,~#tts:nap:en-US{The sundial told the time.}#~,,,~#ttsA:en-US#~
skos pochyłość ukos pochylnia,slant,~#tts:nap:en-US{The roof was slanted.}#~,,,~#ttsA:en-US#~
przesilenie dnia z nocą,solstice,~#tts:nap:en-US{The summer solstice is the longest day of the year.}#~,,,~#ttsA:en-US#~
płatek,petal,"~#tts:nap:en-US{The rose had soft, velvety petals.}#~",,,~#ttsA:en-US#~
"leżący twarzą na dół, skłonny",prone,~#tts:nap:en-US{She was prone to accidents.}#~,,,~#ttsA:en-US#~
oślepiający,dazzling,~#tts:nap:en-US{The diamonds were dazzling.}#~,,,~#ttsA:en-US#~
wpatrywanie się,blistering gaze,~#tts:nap:en-US{Her blistering gaze seemed to burn through him.}#~,,,~#ttsA:en-US#~
pomyje (do karmienia zwierząt),slop,~#tts:nap:en-US{The piglet slopped around in the mud.}#~,,,~#ttsA:en-US#~
"niestaranny, niedbały (np. pismo, praca), niechlujny",sloppy,~#tts:nap:en-US{Her handwriting was sloppy.}#~,,,~#ttsA:en-US#~
"szczery, prawdziwy, autentyczny",sincere,"~#tts:nap:en-US{candid, honest, frank, genuine}#~

~#tts:nap:en-US{Her apology was sincere.}#~",,,~#ttsA:en-US#~
wdzięczny,grateful,~#tts:nap:en-US{She was grateful for his help.}#~,,,~#ttsA:en-US#~
"błyskotliwy, olśniewający",resplendent,~#tts:nap:en-US{The queen looked resplendent in her gown.}#~,,,~#ttsA:en-US#~
jakkolwiek,whatsoever,~#tts:nap:en-US{She didn't have any doubts whatsoever.}#~,,,~#ttsA:en-US#~
"skok, przeskok",leap,"~#tts:nap:en-US{jump, hop}#~

~#tts:nap:en-US{The deer leaped over the fence.}#~

~#tts:nap:en-US{She leaped over the obstacle.}#~",,,~#ttsA:en-US#~
"strapienie, zmartwienie",distress,"~#tts:nap:en-US{worry, concern, chagrin}#~

~#tts:nap:en-US{She was in great distress.}#~",,,~#ttsA:en-US#~
zgruchotać,to shatter,~#tts:nap:en-US{The vase shattered into pieces.}#~,,,~#ttsA:en-US#~
"skaza, słaby punkt",flaw,~#tts:nap:en-US{There was a flaw in the plan.}#~,,,~#ttsA:en-US#~
"guma, pianka",foam,~#tts:nap:en-US{The waves were topped with foam.}#~,,,~#ttsA:en-US#~
"półka skalna
stopień w skale, krawędź, listwa, poprzeczka",ledge,"półka w szafie: ~#tts:nap:en-US{shelve, shelf}#~

~#tts:nap:en-US{He stood on the ledge of the cliff.}#~

~#tts:nap:en-US{The bird built its nest on a narrow ledge of the cliff.}#~",,,~#ttsA:en-US#~
