#SHEETINFO | name=Vocabulary & Sentences,,,,,
jeden,one,"~#tts:nap:en-US{One plus one equals two.}#~
Jeden plus jeden równa się dwa.",,,~#ttsA:en-US#~
mama,"mom, mum","~#tts:nap:en-US{My mum is cooking dinner.}#~
Moja mama gotuje obiad.",,,~#ttsA:en-US#~
"obraz, ilustracja lub zdjęcie",picture,"~#tts:nap:en-US{photo}#~

~#tts:nap:en-US{I took a beautiful picture of the sunset.}#~
Zrobiłem piękne zdjęcie zachodu słońca.",,,~#ttsA:en-US#~
coś,something,"~#tts:nap:en-US{I need to tell you something important.}#~
Muszę powiedzieć ci coś ważnego.",,,~#ttsA:en-US#~
zabawka,toy,"~#tts:nap:en-US{The child is playing with his toy car.}#~
Dziecko bawi się swoim samochodzikiem.",,,~#ttsA:en-US#~
i,and,"~#tts:nap:en-US{I like apples and oranges.}#~
Lubię jabłka i pomarańcze.",,,~#ttsA:en-US#~
koniec,end,"~#tts:nap:en-US{The end of the movie was sad.}#~
Koniec filmu był smutny.",,,~#ttsA:en-US#~
w górę,up,"~#tts:nap:en-US{Go up the stairs.}#~
Idź po schodach.",,,~#ttsA:en-US#~
księżyc,moon,"~#tts:nap:en-US{The moon is full tonight.}#~
Dzisiaj jest pełnia księżyca.",,,~#ttsA:en-US#~
spróbuj ponownie,try again,"~#tts:nap:en-US{Let's try again.}#~
Spróbujmy jeszcze raz.",,,~#ttsA:en-US#~
"cześć, halo",hello,"~#tts:nap:en-US{Hello, how are you?}#~
Cześć, jak się masz?",,,~#ttsA:en-US#~
pani,lady,"~#tts:nap:en-US{The lady at the counter was very helpful.}#~
Pani przy ladzie była bardzo pomocna.",,,~#ttsA:en-US#~
iść,to go,"~#tts:nap:en-US{I'm going to the store.}#~
Idę do sklepu.",,,~#ttsA:en-US#~
niebieski,blue,"~#tts:nap:en-US{The sky is blue.}#~
Niebo jest niebieskie.",,,~#ttsA:en-US#~
kwiat,flower,"~#tts:nap:en-US{The garden is full of flowers.}#~
Ogród jest pełen kwiatów.",,,~#ttsA:en-US#~
dziesięć,ten,"~#tts:nap:en-US{I have ten dollars.}#~
Mam dziesięć dolarów.",,,~#ttsA:en-US#~
syn,son,"~#tts:nap:en-US{He is a loving father to his son.}#~
Jest kochającym ojcem dla swojego syna.",,,~#ttsA:en-US#~
statek,ship,"~#tts:nap:en-US{The ship is sailing to Australia.}#~
Statek płynie do Australii.",,,~#ttsA:en-US#~
tak,"yes
yeah","~#tts:nap:en-US{Yes, I can help you.}#~
Tak, mogę ci pomóc.

~#tts:nap:en-US{Yeah, I agree.}#~
Tak, zgadzam się.",,,~#ttsA:en-US#~
dziewięć,nine,"~#tts:nap:en-US{Nine is an odd number.}#~
Dziewięć jest liczbą nieparzystą.",,,~#ttsA:en-US#~
film,"~#tts:en-GB{film}#~ (GB)
~#tts:en-US{movie}#~ (US)","~#tts:nap:en-US{I like watching movies.}#~
Lubię oglądać filmy.

~#tts:nap:en-US{The film was very good.}#~
Film był bardzo dobry.",,,~#no-swap#~
uśmiech,smile,"~#tts:nap:en-US{Her smile is very contagious.}#~
Jej uśmiech jest bardzo zaraźliwy.",,,~#ttsA:en-US#~
